,Course,Description,,Sections,
,,,,,
,ACAL-12---,AP CALCULUS AB 12 external cre,,,1
,,,,,
,ACSC-2A---,AP COMPUTER SCIENCE A 12,,,1
,,,,,
,AELC-12---,AP ENGLISH LITERATURE & COMPOS,,,1
,,,,,
,APHM-12---,AP PHYSICS C (MECHANICS) 12 ex,,,1
,,,,,
,ASTA-12---,AP STATISTICS 12,,,1
,,,,,
,MAC--11---,ACCOUNTING 11,,,2
,,,,,
,MACC-12---,ACCOUNTING 12,,,2
,,,,,
,MACLV11---,ACTIVE LIVING 11,,,2
,,,,,
,MACLV11FB-,ACTIVE LIVING 11 Football,,,1
,,,,,
,MACLV11G--,ACTIVE LIVING 11 Girls,,,1
,,,,,
,MACLV12---,ACTIVE LIVING 12,,,2
,,,,,
,MACLV12G--,ACTIVE LIVING 12 Girls,,,1
,,,,,
,MADD-09---,ADST - Drafting 9,,,4
,,,,,
,MADEM10---,ADST ? ENTREPRENEURSHIP AND MA,,,2
,,,,,
,MADER09---,ADST - Electronics and Robotic,,,2
,,,,,
,MADER09--L,ADST - Electronics and Robotic,,,1
,,,,,
,MADGE09---,ADST 9 - General Explorations ,,,5
,,,,,
,MADIT09---,ADST-Information and Communica,,,0
,,,,,
,MADT-09---,ADST - Textiles 9,,,4
Greater Victoria,,,,,
,,,Course Schedule Summary,,
Page 2,,,,,
,Course,Description,,Sections,
,,,,,
,MADW-09---,ADST - Woodwork 9,,,2
,,,,,
,MATPH12---,ANATOMY AND PHYSIOLOGY 12,,,5
,,,,,
,MBSP-11---,INTRODUCTORY SPANISH 11,,,2
,,,,,
,MCALC12---,CALCULUS 12,,,3
,,,,,
,MCH--11---,CHEMISTRY 11,,,6
,,,,,
,MCH--12---,CHEMISTRY 12,,,6
,,,,,
,MCLC-12---,CAREER LIFE CONNECTIONS,,,1
,,,,,
,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,,,1
,,,,,
,MCLE-10---,CAREER LIFE EDUCATION 10,,,5
,,,,,
,MCLE-10--L,CAREER LIFE EDUCATION 10 Linea,,,1
,,,,,
,MCMCC11--L,CHORAL MUSIC 11: CONCERT CHOIR,,,1
,,,,,
,MCMCC12--L,CHORAL MUSIC 12: CONCERT CHOIR,,,1
,,,,,
,MCMCL12---,COMPARATIVE CULTURES 12,,,1
,,,,,
,MCMPR11AI-,COMPUTER PROGRAMMING 11 AI and,,,1
,,,,,
,MCMPR12AI-,COMPUTER PROGRAMMING 12 AI and,,,1
,,,,,
,MCMPR12W--,WEB DEVELOPMENT 12,,,0
,,,,,
,MCMPS10---,COMPOSITION 10,,,3
,,,,,
,MCMPS10C--,COMPOSITION 10 Challenge,,,2
,,,,,
,MCMPS11---,COMPOSITION 11,,,9
Greater Victoria,,,,,
,,,Course Schedule Summary,,
Page 3,,,,,
,Course,Description,,Sections,
,,,,,
,MDCF-10---,DANCE FOUNDATIONS 10,,,1
,,,,,
,MDCF-11---,DANCE FOUNDATIONS 11,,,1
,,,,,
,MDCF-12---,DANCE FOUNDATIONS 12,,,1
,,,,,
,MDMD-12D--,3D ANIMATION 12,,,1
,,,,,
,MDNC-09C-L,DANCE 9 Choreography Linear,,,1
,,,,,
,MDNC-09F--,DANCE 9 Foundations,,,1
,,,,,
,MDNC-09H--,DANCE 9 HIP HOP,,,1
,,,,,
,MDNC-09M-L,DANCE 9 Company: Platform 61 L,,,1
,,,,,
,MDNC-09PT-,DANCE 9 Performance and Techni,,,1
,,,,,
,MDNC-10--L,DANCE 10: CHOREOGRAPHY Linear,,,1
,,,,,
,MDNC-11--L,DANCE 11: CHOREOGRAPHY Linear,,,1
,,,,,
,MDNC-12--L,DANCE 12: CHOREOGRAPHY Linear,,,1
,,,,,
,MDNCM10--L,DANCE COMPANY 10 Linear,,,1
,,,,,
,MDNCM11--L,DANCE COMPANY 11 Linear,,,1
,,,,,
,MDNCM12--L,DANCE COMPANY 12 Linear,,,1
,,,,,
,MDNCN11---,DANCE CONDITIONING 11,,,1
,,,,,
,MDNCN12---,DANCE CONDITIONING 12,,,1
,,,,,
,MDNTP10---,DANCE TECHNIQUE AND PERFORMANC,,,1
