ID,1000,Grade,12,,,,,,ID: ,,,,,,2110227,,,
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MCALC12---,,,CALCULUS 12,,,,,N,,,N,,,,,,,4
MCLC-12--L,,,CAREER LIFE CONNECTIONS Linear,,,,,N,,,N,,,,,,,4
MCMCL12---,,,COMPARATIVE CULTURES 12,,,,,N,,,Y,,,,,,,4
MCTWR12---,,,CREATIVE WRITING 12,,,,,N,,,N,,,,,,,4
MEC--12---,,,ECONOMICS 12,,,,,N,,,N,,,,,,,4
MENFP12---,,,ENGLISH FIRST PEOPLES 12,,,,,N,,,N,,,,,,,4
MEVSC12C--,,,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,,,,,N,,,N,,,,,,,4
MPREC12---,,,PRE-CALCULUS 12,,,,,N,,,N,,,,,,,4
MSJ--12---,,,SOCIAL JUSTICE 12,,,,,N,,,Y,,,,,,,4
MWH--12---,,,20th CENTURY WORLD HISTORY 12,,,,,N,,,N,,,,,,,4
YPSYC1AX--,,,PSYCHOLOGY 11,,,,,N,,,N,,,,,,,4
ID,1001,Grade,12,,,,,,,,,,,,,,,
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MATPH12---,,,ANATOMY AND PHYSIOLOGY 12,,,,,N,,,N,,,,,,,4
MFR--10---,,,FRENCH 10,,,,,N,,,N,,,,,,,4
MMAP-11---,,,MARKETING AND PROMOTION 11,,,,,N,,,Y,,,,,,,4
MPREC12---,,,PRE-CALCULUS 12,,,,,N,,,N,,,,,,,4
XBA--09G--,,,CONCERT BAND 9 - Guitar,,,,,N,,,N,,,,,,,0
YPSYC1AX--,,,PSYCHOLOGY 11,,,,,N,,,Y,,,,,,,4
ID,1002,Grade,12,,,,,,,,,,,,,,,
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MCLC-12--L,,,CAREER LIFE CONNECTIONS Linear,,,,,N,,,N,,,,,,,4
MDCF-12---,,,DANCE FOUNDATIONS 12,,,,,N,,,N,,,,,,,4
MDCF-12---,,,DANCE FOUNDATIONS 12,,,,,N,,,Y,,,,,,,4
MDRM-12---,,,DRAMA 12,,,,,N,,,N,,,,,,,4
MENFP12---,,,ENGLISH FIRST PEOPLES 12,,,,,N,,,N,,,,,,,4
MFOOD12---,,,FOOD STUDIES 12,,,,,N,,,N,,,,,,,4
MSJ--12---,,,SOCIAL JUSTICE 12,,,,,N,,,N,,,,,,,4
MTXT-12---,,,TEXTILES 12,,,,,N,,,N,,,,,,,4
MVAST12---,,,ART STUDIO 12,,,,,N,,,Y,,,,,,,4
YED--2CX--,,,LEARNING STRATEGIES 12,,,,,N,,,N,,,,,,,4
YPA--2CX--,,,YOGA FOR MINDFULNESS 12,,,,,N,,,N,,,,,,,4
ID,1003,Grade,11,,,,,,,,,,,,,,,
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MACLV12---,,,ACTIVE LIVING 12,,,,,N,,,N,,,,,,,4
MATPH12---,,,ANATOMY AND PHYSIOLOGY 12,,,,,N,,,N,,,,,,,4
MCLC-12--L,,,CAREER LIFE CONNECTIONS Linear,,,,,N,,,N,,,,,,,4
MENST12---,,,ENGLISH STUDIES 12,,,,,N,,,N,,,,,,,4
MEVSC12C--,,,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,,,,,N,,,N,,,,,,,4
MPREC12---,,,PRE-CALCULUS 12,,,,,N,,,N,,,,,,,4
MTAUT12---,,,AUTOMOTIVE TECHNOLOGY 12,,,,,N,,,N,,,,,,,4
ID,1004,Grade,11,,,,,,,,,,,,,,,
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
ACAL-12---,,,AP CALCULUS AB 12 external credential,,,,,N,,,N,,,,,,,4
MCH--12---,,,CHEMISTRY 12,,,,,N,,,N,,,,,,,4
MCLC-12--L,,,CAREER LIFE CONNECTIONS Linear,,,,,N,,,N,,,,,,,4
MENR-12---,,,ENGINEERING 12,,,,,N,,,N,,,,,,,4
MENST12C--,,,ENGLISH STUDIES 12 CHALLENGE,,,,,N,,,N,,,,,,,4
MFOOD12---,,,FOOD STUDIES 12,,,,,N,,,N,,,,,,,4
MPH--12---,,,PHYSICS 12,,,,,N,,,N,,,,,,,4
MPREC12H--,,,PRE-CALCULUS 12 HONOURS,,,,,N,,,N,,,,,,,4
MTDRF12---,,,DRAFTING 12,,,,,N,,,N,,,,,,,4
YED--2DX-L,,,PEER TUTORING 12 LINEAR,,,,,N,,,N,,,,,,,4
ID,1005,Grade,11,,,,,,,,,,,,,,,
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MATPH12---,,,ANATOMY AND PHYSIOLOGY 12,,,,,N,,,N,,,,,,,4
MCALC12---,,,CALCULUS 12,,,,,N,,,N,,,,,,,4
MCH--12---,,,CHEMISTRY 12,,,,,N,,,N,,,,,,,4
MCLC-12--L,,,CAREER LIFE CONNECTIONS Linear,,,,,N,,,N,,,,,,,4
MENST12---,,,ENGLISH STUDIES 12,,,,,N,,,N,,,,,,,4
MPH--11---,,,PHYSICS 11,,,,,N,,,N,,,,,,,4
MPH--12---,,,PHYSICS 12,,,,,N,,,N,,,,,,,4
MPREC12H--,,,PRE-CALCULUS 12 HONOURS,,,,,N,,,N,,,,,,,4
YED--2FX-L,,,SCHOLARSHIP PREPARATION 12 LINEAR,,,,,N,,,N,,,,,,,4
ID,1006,Grade,11,,,,,,,,,,,,,,,
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MCALC12---,,,CALCULUS 12,,,,,N,,,N,,,,,,,4
MCH--12---,,,CHEMISTRY 12,,,,,N,,,N,,,,,,,4
MCLC-12--L,,,CAREER LIFE CONNECTIONS Linear,,,,,N,,,N,,,,,,,4
MLST-12---,,,LAW STUDIES 12,,,,,N,,,N,,,,,,,4
