Greater Victoria,,,,Mount Douglas Secondary,
,,,Schedule Rule Summary,,
Page 1,,,,,
,,,,,"May 11, 2026"
,Rule Definition,Summary,,,
,Course - Blocking,"Schedule ACSC-2A---, MMACS12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MAC--11---, MACC-12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MACLV11---, MACLV12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MACLV11G--, MACLV12G-- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MADD-09---, MTDRF10---, MTDRF11---, MTDRF12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MADER09---, MTEAR10---, MTROB11---, MTROB12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MADGE09---, MENR-11---, MENR-12---, MTEXP10--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MADIT09---, MWBDV10IT- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MADT-09---, MTXT-10---, MTXT-11---, MTXT-12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MADW-09---, MWWK-10---, MWWK-11---, MWWK-12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MBSP-11---, MSP--09--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MCMCC11--L, MCMCC12--L, MMUCC10--L, XC---09--L in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MCMPR11---, MCMPR12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MDCF-10---, MDCF-11---, MDCF-12---, MDNC-09F-- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MDNC-09C-L, MDNC-10--L, MDNC-11--L, MDNC-12--L in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MDNC-09H--, MDNCN11---, MDNCN12---, MIDS-0B--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MDNC-09M-L, MDNCM10--L, MDNCM11--L, MDNCM12--L in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MDNTP10---, MDNC-09PT- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MDNTP11---, MDNTP12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MDR--09---, MDRM-10--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MDRM-10---, MDRM-11---, MDRM-12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MDRM-11---, MDRM-12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MECOM12---, PBB--2H, MEC--12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MENT-12---, MMAP-11--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MFOOD11---, MFOOD12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MFR--09---, MFR--10--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MFR--09---, MFR--10--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MFR--11---, MFR--12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MFTCD11---, MFTCD12--- in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MIMCB11--L, MIMCB12--L in a Simultaneous blocking",,,
,Course - Blocking,"Schedule MIMJB11--L, MIMJB12--L in a Simultaneous blocking",,,
