Course_1,Course_2,Blocking_Type
ACSC-2A---,MMACS12---,Simultaneous
MAC--11---,MACC-12---,Simultaneous
MACLV11---,MACLV12---,Simultaneous
MACLV11G--,MACLV12G--,Simultaneous
MADD-09---,MTDRF10---,Simultaneous
MADD-09---,MTDRF11---,Simultaneous
MADD-09---,MTDRF12---,Simultaneous
MADER09---,MTEAR10---,Simultaneous
MADER09---,MTROB11---,Simultaneous
MADER09---,MTROB12---,Simultaneous
MADGE09---,MENR-11---,Simultaneous
MADGE09---,MENR-12---,Simultaneous
MADGE09---,MTEXP10---,Simultaneous
MADIT09---,MWBDV10IT-,Simultaneous
MADT-09---,MTXT-10---,Simultaneous
MADT-09---,MTXT-11---,Simultaneous
MADT-09---,MTXT-12---,Simultaneous
MADW-09---,MWWK-10---,Simultaneous
MADW-09---,MWWK-11---,Simultaneous
MADW-09---,MWWK-12---,Simultaneous
MBSP-11---,MSP--09---,Simultaneous
MCMCC11--L,MCMCC12--L,Simultaneous
MCMCC11--L,MMUCC10--L,Simultaneous
MCMCC11--L,XC---09--L,Simultaneous
MCMPR11---,MCMPR12---,Simultaneous
MDCF-10---,MDCF-11---,Simultaneous
MDCF-10---,MDCF-12---,Simultaneous
MDCF-10---,MDNC-09F--,Simultaneous
MDNC-09C-L,MDNC-10--L,Simultaneous
MDNC-09C-L,MDNC-11--L,Simultaneous
MDNC-09C-L,MDNC-12--L,Simultaneous
MDNC-09H--,MDNCN11---,Simultaneous
MDNC-09H--,MDNCN12---,Simultaneous
MDNC-09H--,MIDS-0B---,Simultaneous
MDNC-09M-L,MDNCM10--L,Simultaneous
MDNC-09M-L,MDNCM11--L,Simultaneous
MDNC-09M-L,MDNCM12--L,Simultaneous
MDNTP10---,MDNC-09PT-,Simultaneous
MDNTP11---,MDNTP12---,Simultaneous
MDR--09---,MDRM-10---,Simultaneous
MDRM-10---,MDRM-11---,Simultaneous
MDRM-10---,MDRM-12---,Simultaneous
MDRM-11---,MDRM-12---,Simultaneous
MECOM12---,PBB--2H,Simultaneous
MECOM12---,MEC--12---,Simultaneous
MENT-12---,MMAP-11---,Simultaneous
MFOOD11---,MFOOD12---,Simultaneous
MFR--09---,MFR--10---,Simultaneous
MFR--09---,MFR--10---,Simultaneous
MFR--11---,MFR--12---,Simultaneous
MFTCD11---,MFTCD12---,Simultaneous
MIMCB11--L,MIMCB12--L,Simultaneous
MIMJB11--L,MIMJB12--L,Simultaneous
MMACS11---,MMACS12---,Simultaneous
MMEDD10---,MMEDD11---,Simultaneous
MMEDD10---,MMEDD12---,Simultaneous
MMUCB10--L,MPHED10--L,NotSimultaneous
MMUCB10--L,MPHED10--L,NotSimultaneous
MMUOR10S-L,MMUOR11S-L,Simultaneous
MMUOR10S-L,MMUOR12S-L,Simultaneous
MMUOR10S-L,XLDCB09S-L,Simultaneous
MODED11---,MODED12---,Simultaneous
MODED11---,YPR--0BX--,Simultaneous
MPHE-09---,MPHED10---,Simultaneous
MPHE-09B--,MPHED10B--,Simultaneous
MPHE-09G--,MPHED10G--,Simultaneous
MPHE-09Y--,YPA--0CX--,Simultaneous
MPHE-09Y--,YPA--1CX--,Simultaneous
MPHE-09Y--,YPA--2CX--,Simultaneous
MPHED10--L,YED--0AX-L,NotSimultaneous
MPHED10--L,XLDCB09LSL,NotSimultaneous
MSP--10---,MSP--11---,Simultaneous
MSP--11---,MSP--12---,Simultaneous
MSPLG11---,YESFL1CX--,Simultaneous
MTAUT11---,MTAUT12---,Simultaneous
MTAUT11---,MTEAD12---,Simultaneous
MTDRF12---,MADD-09---,Simultaneous
MTDRF12---,MTDRF10---,Simultaneous
MTDRF12---,MTDRF11---,Simultaneous
MTPOW10---,XLDCB09M--,Simultaneous
MVAPH10---,MVAPH11---,Simultaneous
MVAPH10---,MVAPH12---,Simultaneous
MVAST10---,MVA--09---,Simultaneous
MVAST10---,MVAST11---,Simultaneous
MVAST10---,MVAST12---,Simultaneous
MVAST11---,MVAST12---,Simultaneous
MVAST11---,MVAST10---,Simultaneous
XBA--09B-L,XBA--09C-L,Simultaneous
XBA--09C-L,MPHE-09--L,NotSimultaneous
XLDCB09LS-,YED--0AX--,Consecutive
XLDCB09LS-,YED--1DX--,Consecutive
XLDCB09LS-,YED--2CX--,Consecutive
YCPA-0AX-L,YCPA-1AX-L,Simultaneous
YCPA-0AX-L,YCPA-2AX-L,Simultaneous
YCPA-0AXE-,YCPA-1AXE-,Simultaneous
YCPA-0AXE-,YCPA-2AXE-,Simultaneous
YED--0BX-L,YED--1EX-L,Simultaneous
YED--0BX-L,YED--2DX-L,Simultaneous
YHRA-0AX--,YHRA-1AX--,Simultaneous
YHRA-0AX--,YHRA-2AX--,Simultaneous
