id,grade,course,description,alternate
1000,12,MCALC12---,CALCULUS 12,False
1000,12,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,False
1000,12,MCMCL12---,COMPARATIVE CULTURES 12,True
1000,12,MCTWR12---,CREATIVE WRITING 12,False
1000,12,MEC--12---,ECONOMICS 12,False
1000,12,MENFP12---,ENGLISH FIRST PEOPLES 12,False
1000,12,MEVSC12C--,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,False
1000,12,MPREC12---,PRE-CALCULUS 12,False
1000,12,MSJ--12---,SOCIAL JUSTICE 12,True
1000,12,MWH--12---,20th CENTURY WORLD HISTORY 12,False
1000,12,YPSYC1AX--,PSYCHOLOGY 11,False
1001,12,MATPH12---,ANATOMY AND PHYSIOLOGY 12,False
1001,12,MFR--10---,FRENCH 10,False
1001,12,MMAP-11---,MARKETING AND PROMOTION 11,True
1001,12,MPREC12---,PRE-CALCULUS 12,False
1001,12,XBA--09G--,CONCERT BAND 9 - Guitar,False
1001,12,YPSYC1AX--,PSYCHOLOGY 11,True
1002,12,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,False
1002,12,MDCF-12---,DANCE FOUNDATIONS 12,False
1002,12,MDCF-12---,DANCE FOUNDATIONS 12,True
1002,12,MDRM-12---,DRAMA 12,False
1002,12,MENFP12---,ENGLISH FIRST PEOPLES 12,False
1002,12,MFOOD12---,FOOD STUDIES 12,False
1002,12,MSJ--12---,SOCIAL JUSTICE 12,False
1002,12,MTXT-12---,TEXTILES 12,False
1002,12,MVAST12---,ART STUDIO 12,True
1002,12,YED--2CX--,LEARNING STRATEGIES 12,False
1002,12,YPA--2CX--,YOGA FOR MINDFULNESS 12,False
1003,11,MACLV12---,ACTIVE LIVING 12,False
1003,11,MATPH12---,ANATOMY AND PHYSIOLOGY 12,False
1003,11,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,False
1003,11,MENST12---,ENGLISH STUDIES 12,False
1003,11,MEVSC12C--,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,False
1003,11,MPREC12---,PRE-CALCULUS 12,False
1003,11,MTAUT12---,AUTOMOTIVE TECHNOLOGY 12,False
1004,11,ACAL-12---,AP CALCULUS AB 12 external credential,False
1004,11,MCH--12---,CHEMISTRY 12,False
1004,11,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,False
1004,11,MENR-12---,ENGINEERING 12,False
1004,11,MENST12C--,ENGLISH STUDIES 12 CHALLENGE,False
1004,11,MFOOD12---,FOOD STUDIES 12,False
1004,11,MPH--12---,PHYSICS 12,False
1004,11,MPREC12H--,PRE-CALCULUS 12 HONOURS,False
1004,11,MTDRF12---,DRAFTING 12,False
1004,11,YED--2DX-L,PEER TUTORING 12 LINEAR,False
1005,11,MATPH12---,ANATOMY AND PHYSIOLOGY 12,False
1005,11,MCALC12---,CALCULUS 12,False
1005,11,MCH--12---,CHEMISTRY 12,False
1005,11,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,False
1005,11,MENST12---,ENGLISH STUDIES 12,False
1005,11,MPH--11---,PHYSICS 11,False
1005,11,MPH--12---,PHYSICS 12,False
1005,11,MPREC12H--,PRE-CALCULUS 12 HONOURS,False
1005,11,YED--2FX-L,SCHOLARSHIP PREPARATION 12 LINEAR,False
1006,11,MCALC12---,CALCULUS 12,False
1006,11,MCH--12---,CHEMISTRY 12,False
1006,11,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,False
1006,11,MLST-12---,LAW STUDIES 12,False
1006,11,MPREC12---,PRE-CALCULUS 12,False
1006,11,MSP--11---,SPANISH 11,False
1006,11,MSP--12---,SPANISH 12,False
1006,11,MTXT-12---,TEXTILES 12,False
1006,11,YCPA-2AX-L,COMMUNITY LEADERSHIP 12 Linear,False
1006,11,YLAW-2CX--,CRIMINOLOGY 12,True
1007,11,AELC-12---,AP ENGLISH LITERATURE & COMPOSITION 12,False
1007,11,APHM-12---,AP PHYSICS C (MECHANICS) 12 external credential,False
1007,11,MCALC12---,CALCULUS 12,False
1007,11,MCH--12---,CHEMISTRY 12,False
1007,11,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,False
1007,11,MDMD-12D--,3D ANIMATION 12,False
1007,11,MENR-12---,ENGINEERING 12,False
1007,11,MENT-12---,ENTREPRENEURSHIP 12,True
1007,11,MLTST12---,LITERARY STUDIES 12,False
1007,11,MPH--12---,PHYSICS 12,True
1007,11,YED--2DX-L,PEER TUTORING 12 LINEAR,False
1008,11,AELC-12---,AP ENGLISH LITERATURE & COMPOSITION 12,False
1008,11,MATPH12---,ANATOMY AND PHYSIOLOGY 12,True
1008,11,MCALC12---,CALCULUS 12,False
1008,11,MCH--12---,CHEMISTRY 12,False
1008,11,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,False
1008,11,MEC--12---,ECONOMICS 12,False
1008,11,MENR-12---,ENGINEERING 12,False
1008,11,MENST12C--,ENGLISH STUDIES 12 CHALLENGE,True
1008,11,MLFSC11---,LIFE SCIENCES 11,True
1008,11,MLST-12---,LAW STUDIES 12,True
1008,11,MLTST12---,LITERARY STUDIES 12,False
1008,11,MPH--12---,PHYSICS 12,False
1008,11,MPREC12---,PRE-CALCULUS 12,False
1008,11,YED--2FX-L,SCHOLARSHIP PREPARATION 12 LINEAR,False
1009,11,MATPH12---,ANATOMY AND PHYSIOLOGY 12,False
1009,11,MCH--12---,CHEMISTRY 12,False
