,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
101,"ADST - Woodwork 9 (17 students)
ADST – WOODWORK 10 (5 students)
WOODWORK 11 (1 students)
WOODWORK 12 (1 students)",,,,,,,"ADST - Woodwork 9 (4 students)
ADST – WOODWORK 10 (5 students)
WOODWORK 11 (7 students)
WOODWORK 12 (8 students)"
102,,,"AUTOMOTIVE TECHNOLOGY 11 (7 students)
AUTOMOTIVE TECHNOLOGY 12 (17 students)
ENGINE AND DRIVETRAIN 12 (0 students)","AUTOMOTIVE TECHNOLOGY 11 (9 students)
AUTOMOTIVE TECHNOLOGY 12 (14 students)
ENGINE AND DRIVETRAIN 12 (1 students)",,,"AUTOMOTIVE TECHNOLOGY 11 (10 students)
AUTOMOTIVE TECHNOLOGY 12 (11 students)
ENGINE AND DRIVETRAIN 12 (3 students)",
103,,,,"ADST – POWER TECHNOLOGY 10 (20 students)
TECH ED 9: MECHANICS LD (10 students)",,,,"ADST – POWER TECHNOLOGY 10 (19 students)
TECH ED 9: MECHANICS LD (11 students)"
104,"ADST 9 - General Explorations (Modules) (20 students)
ENGINEERING 11 (1 students)
ENGINEERING 12 (0 students)
ADST-Technology Explorations 10 (9 students)","ADST - Electronics and Robotics (21 students)
ADST – ELECTRONICS AND ROBOTICS 10 (0 students)
ROBOTICS 11 (1 students)
ROBOTICS 12 (2 students)",CAREER LIFE EDUCATION 10 Linear (15 students),CAREER LIFE EDUCATION 10 (24 students),,CAREER LIFE EDUCATION 10 (30 students),"ADST 9 - General Explorations (Modules) (23 students)
CAREER LIFE EDUCATION 10 Linear (15 students)
ENGINEERING 11 (0 students)
ENGINEERING 12 (2 students)
ADST-Technology Explorations 10 (5 students)","ADST - Electronics and Robotics (10 students)
ADST – ELECTRONICS AND ROBOTICS 10 (6 students)
ROBOTICS 11 (3 students)
ROBOTICS 12 (5 students)"
105,"ADST - Drafting 9 (23 students)
ADST – DRAFTING 10 (5 students)
DRAFTING 11 (0 students)
DRAFTING 12 (2 students)",,"ADST 9 - General Explorations (Modules) (4 students)
ENGINEERING 11 (7 students)
ENGINEERING 12 (11 students)
ADST-Technology Explorations 10 (8 students)","ADST 9 - General Explorations (Modules) (16 students)
ENGINEERING 11 (2 students)
ENGINEERING 12 (4 students)
ADST-Technology Explorations 10 (8 students)","ADST - Drafting 9 (9 students)
ADST – DRAFTING 10 (7 students)
DRAFTING 11 (1 students)
DRAFTING 12 (13 students)","ADST 9 - General Explorations (Modules) (5 students)
ENGINEERING 11 (5 students)
ENGINEERING 12 (10 students)
ADST-Technology Explorations 10 (10 students)","ADST - Drafting 9 (16 students)
ADST – DRAFTING 10 (6 students)
DRAFTING 11 (6 students)
DRAFTING 12 (2 students)","ADST - Drafting 9 (7 students)
ADST – DRAFTING 10 (13 students)
DRAFTING 11 (6 students)
DRAFTING 12 (4 students)"
106,MATHEMATICS 9 CHALLENGE (15 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (30 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (28 students),PRE-CALCULUS 11 (15 students),CALCULUS 12 (28 students),PRE-CALCULUS 12 (21 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (14 students),CALCULUS 12 (29 students)
107,SOCIAL STUDIES 9 (30 students),EXPLORATIONS IN SOCIAL STUDIES 11 (29 students),20th CENTURY WORLD HISTORY 12 (30 students),"ENTREPRENEURSHIP 12 (9 students)
MARKETING AND PROMOTION 11 (20 students)",LAW STUDIES 12 (30 students),SOCIAL STUDIES 10 (15 students),,ENGLISH STUDIES 12 (27 students)
108,"LEARNING STRATEGIES 9 LD (1 students)
LEARNING STRATEGIES 9 LD LINEAR (3 students)","LEARNING STRATEGIES 10 (3 students)
LEARNING STRATEGIES 10 (2 students)
LEARNING STRATEGIES 10 LINEAR (2 students)
LEARNING STRATEGIES 12 (7 students)","LEARNING STRATEGIES 11 (1 students)
LEARNING STRATEGIES 11 LINEAR (1 students)","LEARNING STRATEGIES 9 LD (7 students)
LEARNING STRATEGIES 10 (1 students)
LEARNING STRATEGIES 11 LINEAR (3 students)","LEARNING STRATEGIES 11 LINEAR (3 students)
LEARNING STRATEGIES 9 LD LINEAR (3 students)","LEARNING STRATEGIES 10 (1 students)
LEARNING STRATEGIES 10 (2 students)
LEARNING STRATEGIES 11 (1 students)","LEARNING STRATEGIES 9 LD (2 students)
LEARNING STRATEGIES 11 (1 students)
LEARNING STRATEGIES 11 LINEAR (1 students)","LEARNING STRATEGIES 10 LINEAR (2 students)
LEARNING STRATEGIES 11 (8 students)"
109,LEARNING STRATEGIES 10 (6 students),,,,LEARNING STRATEGIES 12 (12 students),,,
113,,"VISUAL ARTS: PHOTOGRAPHY 10 (11 students)
PHOTOGRAPHY 11 (18 students)
PHOTOGRAPHY 12 (1 students)",,,,,"VISUAL ARTS: PHOTOGRAPHY 10 (15 students)
PHOTOGRAPHY 11 (13 students)
PHOTOGRAPHY 12 (2 students)",
