Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1000,PRE-CALCULUS 12 (Room 221),SOCIAL JUSTICE 12 (Room 121),20th CENTURY WORLD HISTORY 12 (Room 107),ECONOMICS 12 (Room 209),CALCULUS 12 (Room 106),ENGLISH FIRST PEOPLES 12 (Room 207A),COMPARATIVE CULTURES 12 (Room 209),PSYCHOLOGY 11 (Room 122)
1001,unassigned,ANATOMY AND PHYSIOLOGY 12 (Room 219),CONCERT BAND 9 - Guitar (Room NO ROOM FOUND),unassigned,unassigned,FRENCH 10 (Room A-3),PRE-CALCULUS 12 (Room 212),unassigned
1002,DANCE FOUNDATIONS 12 (Room Studio),SOCIAL JUSTICE 12 (Room 121),TEXTILES 12 (Room A-7),ENGLISH FIRST PEOPLES 12 (Room 207A),LEARNING STRATEGIES 12 (Room 109),YOGA FOR MINDFULNESS 12 (Room Gym),unassigned,unassigned
1003,PRE-CALCULUS 12 (Room 212),ANATOMY AND PHYSIOLOGY 12 (Room 219),ENGLISH STUDIES 12 (Room 205B),AUTOMOTIVE TECHNOLOGY 12 (Room 102),unassigned,unassigned,ACTIVE LIVING 12 (Room Gym),ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (Room 123)
1004,CHEMISTRY 12 (Room 219),ENGLISH STUDIES 12 CHALLENGE (Room A-6),PHYSICS 12 (Room 219),FOOD STUDIES 12 (Room 206),DRAFTING 12 (Room 105),ENGINEERING 12 (Room 105),AP CALCULUS AB 12 external credential (Room 221),unassigned
1005,PHYSICS 11 (Room 216),PRE-CALCULUS 12 HONOURS (Room 221),ENGLISH STUDIES 12 (Room 205B),CHEMISTRY 12 (Room 223),CALCULUS 12 (Room 106),ANATOMY AND PHYSIOLOGY 12 (Room 211),PHYSICS 12 (Room 223),unassigned
1006,SPANISH 11 (Room 205A),CRIMINOLOGY 12 (Room 123),TEXTILES 12 (Room A-7),PRE-CALCULUS 12 (Room 212),LAW STUDIES 12 (Room 107),CALCULUS 12 (Room 221),CHEMISTRY 12 (Room 216),SPANISH 12 (Room 208)
1007,CHEMISTRY 12 (Room 219),AP PHYSICS C (MECHANICS) 12 external credential (Room 225),3D ANIMATION 12 (Room 114),ENGINEERING 12 (Room 105),AP ENGLISH LITERATURE & COMPOSITION 12 (Room A-6),AP PHYSICS C (MECHANICS) 12 external credential (Room 225),LITERARY STUDIES 12 (Room 208),CALCULUS 12 (Room 106)
1008,PRE-CALCULUS 12 (Room 221),ENGLISH STUDIES 12 CHALLENGE (Room A-6),PHYSICS 12 (Room 219),ECONOMICS 12 (Room 209),AP ENGLISH LITERATURE & COMPOSITION 12 (Room A-6),ENGINEERING 12 (Room 105),CHEMISTRY 12 (Room 216),CALCULUS 12 (Room 106)
1009,ANATOMY AND PHYSIOLOGY 12 (Room 225),CHEMISTRY 12 (Room 226),PHYSICS 12 (Room 219),FOOD STUDIES 12 (Room 206),ENGLISH STUDIES 12 (Room 123),PRE-CALCULUS 12 (Room 220),OUTDOOR EDUCATION 12 (Room _CHECK THIS THING IDK),PSYCHOLOGY 11 (Room 122)
1010,PRE-CALCULUS 12 (Room 221),AP PHYSICS C (MECHANICS) 12 external credential (Room 225),COMPUTER PROGRAMMING 12 AI and (Room 203),PHYSICS 12 (Room 226),AP ENGLISH LITERATURE & COMPOSITION 12 (Room A-6),AP PHYSICS C (MECHANICS) 12 external credential (Room 225),LITERARY STUDIES 12 (Room 208),CALCULUS 12 (Room 106)
1011,CHEMISTRY 12 (Room 219),unassigned,PHYSICS 12 (Room 219),AUTOMOTIVE TECHNOLOGY 12 (Room 102),AP ENGLISH LITERATURE & COMPOSITION 12 (Room A-6),unassigned,LITERARY STUDIES 12 (Room 208),DRAFTING 12 (Room 105)
1012,unassigned,SOCIAL JUSTICE 12 (Room 121),AUTOMOTIVE TECHNOLOGY 12 (Room 102),FOOD STUDIES 12 (Room 206),LEARNING STRATEGIES 12 (Room 109),ENGLISH STUDIES 12 (Room A-6),ACTIVE LIVING 12 (Room Gym),unassigned
1013,ENGLISH FIRST PEOPLES 12 (Room 122),ECONOMICS 12 (Room 209),CRIMINOLOGY 12 (Room A-3),FOOD STUDIES 12 (Room 206),unassigned,PRE-CALCULUS 12 (Room 220),PSYCHOLOGY 11 (Room 207A),TEXTILES 12 (Room A-7)
1014,unassigned,unassigned,FOUNDATIONS OF MATHEMATICS 11 (Room 221),LIFE SCIENCES 11 (Room 219),COMPOSITION 11 (Room 205B),unassigned,PHYSICAL GEOGRAPHY 12 (Room 121),unassigned
1015,PRE-CALCULUS 12 (Room 221),PHOTOGRAPHY 11 (Room 113),ENGLISH STUDIES 12 (Room 205B),FOOD STUDIES 12 (Room 206),LAW STUDIES 12 (Room 107),CALCULUS 12 (Room 221),PSYCHOLOGY 11 (Room 207A),WOODWORK 12 (Room 101)
1016,unassigned,SOCIAL JUSTICE 12 (Room 121),AUTOMOTIVE TECHNOLOGY 12 (Room 102),FOOD STUDIES 12 (Room 206),FOUNDATIONS OF MATHEMATICS 11 (Room 214),ENGLISH STUDIES 12 (Room A-6),PHYSICAL GEOGRAPHY 12 (Room 121),ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (Room 123)
1017,ELL Academic Literacy 11 (Room 208),unassigned,ACCOUNTING 11 (Room 206),ENGLISH FIRST PEOPLES 12 Year (Room 222),unassigned,PRE-CALCULUS 12 (Room 220),DRAFTING 12 (Room 105),ENGLISH FIRST PEOPLES 12 Year (Room 222)
1018,PRE-CALCULUS 12 (Room 221),AP PHYSICS C (MECHANICS) 12 external credential (Room 225),TEXTILES 12 (Room A-7),CHEMISTRY 12 (Room 223),CALCULUS 12 (Room 106),AP PHYSICS C (MECHANICS) 12 external credential (Room 225),OUTDOOR EDUCATION 12 (Room _CHECK THIS THING IDK),ENGLISH STUDIES 12 (Room 107)
1019,unassigned,unassigned,CRIMINOLOGY 12 (Room A-3),MEDIA DESIGN 12 (Room 114),FRENCH 11 (Room 208),unassigned,unassigned,ENGLISH STUDIES 12 (Room 107)
1020,unassigned,unassigned,ACCOUNTING 11 (Room 206),unassigned,unassigned,PRE-CALCULUS 12 (Room 106),PHYSICS 12 (Room 223),ENGLISH STUDIES 12 (Room 107)
1021,DANCE FOUNDATIONS 12 (Room Studio),unassigned,CHEMISTRY 11 (Room 227),PRE-CALCULUS 12 (Room 212),unassigned,ENGLISH FIRST PEOPLES 12 (Room 207A),CHEMISTRY 12 (Room 216),ANATOMY AND PHYSIOLOGY 12 (Room 225)
1022,unassigned,PSYCHOLOGY 11 (Room 205A),ENGLISH STUDIES 12 (Room 205B),PRE-CALCULUS 11 (Room 106),ART STUDIO 12 (Room 116),PRE-CALCULUS 12 (Room 220),COMPARATIVE CULTURES 12 (Room 209),TEXTILES 12 (Room A-7)
1023,PRE-CALCULUS 12 (Room 221),ANATOMY AND PHYSIOLOGY 12 (Room 219),ENGLISH STUDIES 12 (Room 205B),FOOD STUDIES 12 (Room 206),PHYSICS 11 (Room 219),CALCULUS 12 (Room 221),TEXTILES 12 (Room A-7),CHEMISTRY 12 (Room 219)
1024,CHEMISTRY 11 (Room 226),unassigned,ENGLISH STUDIES 12 (Room 205B),AUTOMOTIVE TECHNOLOGY 12 (Room 102),unassigned,PRE-CALCULUS 12 (Room 106),OUTDOOR EDUCATION 12 (Room _CHECK THIS THING IDK),CHEMISTRY 12 (Room 216)
1025,unassigned,unassigned,unassigned,PHYSICS 12 (Room 226),unassigned,PRE-CALCULUS 12 (Room 220),CHEMISTRY 12 (Room 216),ENGLISH STUDIES 12 (Room 107)
1026,unassigned,PRE-CALCULUS 12 HONOURS (Room 221),ENGLISH STUDIES 12 CHALLENGE (Room 209),FOOD STUDIES 12 (Room 206),unassigned,ENGINEERING 12 (Room 105),AP CALCULUS AB 12 external credential (Room 221),CHEMISTRY 12 (Room 219)
1027,ANATOMY AND PHYSIOLOGY 12 (Room 225),SOCIAL JUSTICE 12 (Room 121),FOUNDATIONS OF MATHEMATICS 11 (Room 221),unassigned,LAW STUDIES 12 (Room 107),CRIMINOLOGY 12 (Room 205A),TEXTILES 12 (Room A-7),ENGLISH STUDIES 12 (Room 107)
1028,DANCE FOUNDATIONS 12 (Room Studio),unassigned,unassigned,FOOD STUDIES 12 (Room 206),unassigned,ANATOMY AND PHYSIOLOGY 12 (Room 211),unassigned,unassigned
1029,PRE-CALCULUS 12 (Room 212),SOCIAL JUSTICE 12 (Room 121),LAW STUDIES 12 (Room 121),unassigned,AP ENGLISH LITERATURE & COMPOSITION 12 (Room A-6),20th CENTURY WORLD HISTORY 12 (Room 121),LITERARY STUDIES 12 (Room 208),unassigned
1030,PRE-CALCULUS 12 (Room 221),LAW STUDIES 12 (Room 222),PHYSICS 12 (Room 219),FOOD STUDIES 12 (Room 206),CALCULUS 12 (Room 106),ENGLISH STUDIES 12 (Room A-6),ACTIVE LIVING 12 (Room Gym),CHEMISTRY 12 (Room 219)
1031,unassigned,unassigned,CRIMINOLOGY 12 (Room A-3),unassigned,unassigned,unassigned,PRE-CALCULUS 12 (Room 212),ENGLISH STUDIES 12 (Room 107)
1032,ENGLISH FIRST PEOPLES 12 (Room 122),CAREER LIFE EDUCATION 10 (Room 201),20th CENTURY WORLD HISTORY 12 (Room 107),FOOD STUDIES 12 (Room 206),ACCOUNTING 11 (Room 206),YOGA FOR MINDFULNESS 12 (Room Gym),PHYSICAL GEOGRAPHY 12 (Room 121),TEXTILES 12 (Room A-7)
1033,CONTEMPORARY INDIGENOUS STUDIES 12 (Room 121),PRE-CALCULUS 11 (Room 212),ACCOUNTING 12 (Room 206),ECONOMICS 12 (Room 209),FOUNDATIONS OF MATHEMATICS 11 (Room 214),YOGA FOR MINDFULNESS 12 (Room Gym),ACTIVE LIVING 12 (Room Gym),ENGLISH STUDIES 12 (Room 107)
1034,LIFE SCIENCES 11 (Room 211),SOCIAL JUSTICE 12 (Room A-3),ENGLISH STUDIES 12 (Room 205B),FOOD STUDIES 12 (Room 206),LEARNING STRATEGIES 12 (Room 109),20th CENTURY WORLD HISTORY 12 (Room 121),PRE-CALCULUS 12 (Room 212),ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (Room 123)
1035,WORKPLACE MATHEMATICS 11 (Room 123),E-COMMERCE 12 (Room 209),ACCOUNTING 11 (Room 206),ENTREPRENEURSHIP 12 (Room 107),FOUNDATIONS OF MATHEMATICS 11 (Room 214),unassigned,ENGLISH STUDIES 12 (Room A-2),unassigned
1036,PRE-CALCULUS 12 (Room 212),ENGLISH STUDIES 12 CHALLENGE (Room A-6),unassigned,CHEMISTRY 12 (Room 223),PHYSICS 11 (Room 219),unassigned,AP CALCULUS AB 12 external credential (Room 221),unassigned
1037,CHEMISTRY 12 (Room 219),ECONOMICS 12 (Room 209),PHYSICS 12 (Room 219),PRE-CALCULUS 12 (Room 212),AP ENGLISH LITERATURE & COMPOSITION 12 (Room A-6),ANATOMY AND PHYSIOLOGY 12 (Room 211),LITERARY STUDIES 12 (Room 208),CALCULUS 12 (Room 106)
