Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
ACCOUNTING 11 (Room 209) (28 students),ADST - Drafting 9 (Room 105) (11 students),AP CALCULUS AB 12 external cre (Room 207B) (30 students),AP ENGLISH LITERATURE & COMPOS (Room 208) (25 students),AP PHYSICS C (MECHANICS) 12 ex (Room 225) (23 students),ACCOUNTING 11 (Room 107) (27 students),CALCULUS 12 (Room 106) (28 students),AP STATISTICS 12 (Room 207A) (30 students)
ACCOUNTING 12 (Room 209) (7 students),ADST - Drafting 9 (Room 105) (11 students),AP COMPUTER SCIENCE A 12 (Room 203) (5 students),ADST - Electronics and Robotic (Room 104) (16 students),ACTIVE LIVING 11 Football (Room Gym) (13 students),ACCOUNTING 12 (Room 107) (7 students),CHEMISTRY 11 (Room 211) (24 students),ADST - Textiles 9 (Room 206) (7 students)
ACTIVE LIVING 11 (Room Gym) (14 students),ADST ? ENTREPRENEURSHIP AND MA (Room 208) (28 students),ADST - Drafting 9 (Room 105) (10 students),ADST 9 - General Explorations (10 students),ADST - Electronics and Robotic (Room 104) (17 students),ACTIVE LIVING 11 (Room Gym) (13 students),CAREER LIFE EDUCATION 10 (Room 207A) (26 students),ADST - Textiles 9 (Room 206) (6 students)
ACTIVE LIVING 11 Girls (Room Gym) (15 students),ADST 9 - General Explorations (10 students),ADST 9 - General Explorations (10 students),ADST - Textiles 9 (Room 206) (6 students),ADST 9 - General Explorations (10 students),ACTIVE LIVING 12 (Room Gym) (14 students),COMPOSITION 11 (Room 123) (24 students),INTRODUCTORY SPANISH 11 (Room A-2) (7 students)
ACTIVE LIVING 12 (Room Gym) (14 students),ANATOMY AND PHYSIOLOGY 12 (Room 216) (23 students),ADST - Textiles 9 (Room 206) (6 students),ADST - Woodwork 9 (Room 101) (10 students),ADST 9 - General Explorations (10 students),ADST ? ENTREPRENEURSHIP AND MA (Room 209) (28 students),DANCE 9 Performance and Techni (Room Studio) (7 students),CALCULUS 12 (Room A-2) (29 students)
ACTIVE LIVING 12 Girls (Room Gym) (4 students),ANATOMY AND PHYSIOLOGY 12 (Room 211) (23 students),CALCULUS 12 (Room 106) (29 students),ANATOMY AND PHYSIOLOGY 12 (Room 225) (23 students),ADST - Woodwork 9 (Room 101) (10 students),CHEMISTRY 12 (Room 227) (22 students),DANCE TECHNIQUE AND PERFORMANC (Room Studio) (4 students),CAREER LIFE EDUCATION 10 (Room 207B) (26 students)
ADST - Drafting 9 (Room 105) (11 students),CHEMISTRY 12 (Room 223) (22 students),CHEMISTRY 12 (Room 226) (21 students),EFP WRITING 10 (Room A-6) (23 students),ANATOMY AND PHYSIOLOGY 12 (Room 226) (24 students),CHEMISTRY 12 (Room 225) (22 students),DANCE TECHNIQUE AND PERFORMANC (Room Studio) (6 students),COMPOSITION 10 (Room 208) (19 students)
CHEMISTRY 11 (Room 226) (24 students),CHEMISTRY 12 (Room 216) (21 students),CAREER LIFE CONNECTIONS (Room 205A) (8 students),ENGLISH FIRST PEOPLES 12 (Room A-7) (26 students),ANATOMY AND PHYSIOLOGY 12 (Room 219) (23 students),COMPOSITION 11 (Room 205B) (24 students),DANCE TECHNIQUE AND PERFORMANC (Room Studio) (12 students),DANCE FOUNDATIONS 10 (Room Studio) (8 students)
COMPOSITION 11 (Room 209) (24 students),CAREER LIFE EDUCATION 10 (Room 205A) (25 students),CAREER LIFE EDUCATION 10 (Room 122) (26 students),ENGINEERING 11 (4 students),INTRODUCTORY SPANISH 11 (Room 208) (7 students),ECONOMICS 12 (Room 207A) (17 students),ENGLISH LANGUAGE ARTS 9 (Room A-6) (23 students),DANCE FOUNDATIONS 11 (Room Studio) (5 students)
COMPOSITION 11 (Room 122) (23 students),ECONOMICS 12 (Room A-3) (18 students),COMPOSITION 11 (Room 122) (24 students),ENGINEERING 12 (5 students),CHEMISTRY 11 (Room 223) (24 students),E-COMMERCE 12 (Room 207A) (2 students),ENGLISH FIRST PEOPLES 12 (Room A-6) (26 students),DANCE FOUNDATIONS 12 (Room Studio) (6 students)
