,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
101,,,,,,,"ADST - Woodwork 9 (9 students)
ADST – WOODWORK 10 (5 students)
WOODWORK 11 (6 students)
WOODWORK 12 (4 students)","ADST - Woodwork 9 (8 students)
ADST – WOODWORK 10 (6 students)
WOODWORK 11 (7 students)
WOODWORK 12 (3 students)"
102,,"AUTOMOTIVE TECHNOLOGY 11 (9 students)
AUTOMOTIVE TECHNOLOGY 12 (14 students)
ENGINE AND DRIVETRAIN 12 (1 students)","AUTOMOTIVE TECHNOLOGY 11 (7 students)
AUTOMOTIVE TECHNOLOGY 12 (17 students)
ENGINE AND DRIVETRAIN 12 (0 students)",,,,"AUTOMOTIVE TECHNOLOGY 11 (9 students)
AUTOMOTIVE TECHNOLOGY 12 (10 students)
ENGINE AND DRIVETRAIN 12 (5 students)",
103,,,"ADST – POWER TECHNOLOGY 10 (22 students)
TECH ED 9: MECHANICS LD (8 students)","ADST – POWER TECHNOLOGY 10 (17 students)
TECH ED 9: MECHANICS LD (13 students)",,,,
104,CAREER LIFE EDUCATION 10 (27 students),"ADST 9 - General Explorations (Modules) (20 students)
ENGINEERING 11 (2 students)
ENGINEERING 12 (0 students)
ADST-Technology Explorations 10 (8 students)","ADST 9 - General Explorations (Modules) (2 students)
ENGINEERING 11 (7 students)
ENGINEERING 12 (11 students)
ADST-Technology Explorations 10 (10 students)","ADST - Electronics and Robotics (19 students)
ADST – ELECTRONICS AND ROBOTICS 10 (2 students)
ROBOTICS 11 (1 students)
ROBOTICS 12 (2 students)","ADST - Electronics and Robotics (9 students)
ADST – ELECTRONICS AND ROBOTICS 10 (8 students)
ROBOTICS 11 (3 students)
ROBOTICS 12 (4 students)",CAREER LIFE EDUCATION 10 (30 students),,CAREER LIFE EDUCATION 10 (28 students)
105,"ADST 9 - General Explorations (Modules) (21 students)
ENGINEERING 11 (2 students)
ENGINEERING 12 (0 students)
ADST-Technology Explorations 10 (7 students)","ADST - Drafting 9 (25 students)
ADST – DRAFTING 10 (4 students)
DRAFTING 11 (0 students)
DRAFTING 12 (1 students)","ADST - Drafting 9 (7 students)
ADST – DRAFTING 10 (8 students)
DRAFTING 11 (5 students)
DRAFTING 12 (7 students)","ADST - Drafting 9 (11 students)
ADST – DRAFTING 10 (6 students)
DRAFTING 11 (7 students)
DRAFTING 12 (6 students)","ADST - Drafting 9 (15 students)
ADST – DRAFTING 10 (6 students)
DRAFTING 11 (1 students)
DRAFTING 12 (6 students)","ADST 9 - General Explorations (Modules) (8 students)
ENGINEERING 11 (3 students)
ENGINEERING 12 (9 students)
ADST-Technology Explorations 10 (10 students)","ADST 9 - General Explorations (Modules) (17 students)
ENGINEERING 11 (3 students)
ENGINEERING 12 (5 students)
ADST-Technology Explorations 10 (2 students)",
106,PRE-CALCULUS 11 (21 students),MATHEMATICS 9 (30 students),MATHEMATICS 9 HONOURS (22 students),PRE-CALCULUS 12 (30 students),WORKPLACE MATHEMATICS 11 (15 students),CALCULUS 12 (30 students),PRE-CALCULUS 11 (23 students),FOUNDATIONS OF MATHEMATICS 11 (30 students)
107,ENGLISH FIRST PEOPLES 12 Year (10 students),COMPOSITION 11 (19 students),ENGLISH 9 FOR ELL (10 students),ENGLISH LANGUAGE ARTS 9 (23 students),EXPLORATIONS IN SOCIAL STUDIES 11 (19 students),SOCIAL STUDIES 9 (27 students),"ENGLISH FIRST PEOPLES 12 Year (10 students)
FRENCH 11 (22 students)
FRENCH 12 (8 students)",LITERARY STUDIES 11 Challenge (14 students)
108,LEARNING STRATEGIES 9 LD (2 students),,LEARNING STRATEGIES 11 LINEAR (3 students),,,,LEARNING STRATEGIES 11 (6 students),"LEARNING STRATEGIES 9 LD (3 students)
LEARNING STRATEGIES 10 (2 students)
LEARNING STRATEGIES 11 LINEAR (3 students)"
109,"LEARNING STRATEGIES 9 LD (1 students)
LEARNING STRATEGIES 9 LD (1 students)
LEARNING STRATEGIES 9 LD (4 students)","LEARNING STRATEGIES 10 (2 students)
LEARNING STRATEGIES 10 LINEAR (2 students)
LEARNING STRATEGIES 12 (7 students)
LEARNING STRATEGIES 9 LD LINEAR (1 students)","LEARNING STRATEGIES 10 (4 students)
LEARNING STRATEGIES 9 LD LINEAR (3 students)","LEARNING STRATEGIES 11 (4 students)
LEARNING STRATEGIES 11 (1 students)",LEARNING STRATEGIES 12 (4 students),"LEARNING STRATEGIES 10 (8 students)
LEARNING STRATEGIES 12 (1 students)",LEARNING STRATEGIES 9 LD LINEAR (3 students),"LEARNING STRATEGIES 10 LINEAR (2 students)
LEARNING STRATEGIES 12 (8 students)
LEARNING STRATEGIES 9 LD LINEAR (1 students)"
113,,,,,,"VISUAL ARTS: PHOTOGRAPHY 10 (15 students)
PHOTOGRAPHY 11 (14 students)
PHOTOGRAPHY 12 (1 students)","VISUAL ARTS: PHOTOGRAPHY 10 (13 students)
PHOTOGRAPHY 11 (14 students)
PHOTOGRAPHY 12 (3 students)",
