Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1000,MWH--12--- (Room 121),MEVSC12C-- (Room 205A),unassigned,MPREC12--- (Room 210),MCALC12--- (Room 212),MENFP12--- (Room A-2),MCMCL12--- (Room 208),YPSYC1AX-- (Room 209)
1001,unassigned,MATPH12--- (Room 211),unassigned,unassigned,unassigned,MFR--10--- (Room 207B),XBA--09G-- (Room 119),MPREC12--- (Room 220)
1002,MENFP12--- (Room 122),MSJ--12--- (Room 208),MDCF-12--- (Room Studio),unassigned,MFOOD12--- (Room 206),MTXT-12--- (Room A-7),unassigned,YED--2CX-- (Room 109)
1003,unassigned,MEVSC12C-- (Room 205A),MTAUT12--- (Room 102),MATPH12--- (Room 225),unassigned,MENST12--- (Room 207A),MACLV12--- (Room Gym),MPREC12--- (Room 220)
1004,MCH--12--- (Room 216),MPREC12H-- (Room 212),MFOOD12--- (Room 206),MTDRF12--- (Room 105),MENST12C-- (Room A-6),MENR-12--- (Room 105),MPH--12--- (Room 219),ACAL-12--- (Room 221)
1005,MCH--12--- (Room 216),MPREC12H-- (Room 212),unassigned,MPH--11--- (Room 223),MCALC12--- (Room 212),MENST12--- (Room 205A),MATPH12--- (Room 223),MPH--12--- (Room 225)
1006,MSP--11--- (Room 123),MCH--12--- (Room 216),unassigned,MPREC12--- (Room 210),MSP--12--- (Room 207B),MCALC12--- (Room 106),MLST-12--- (Room 121),MTXT-12--- (Room A-7)
1007,unassigned,MCH--12--- (Room 219),AELC-12--- (Room 123),MLTST12--- (Room A-7),MCALC12--- (Room 212),MENR-12--- (Room 105),APHM-12--- (Room 227),MPH--12--- (Room 227)
1008,MEC--12--- (Room 209),MCH--12--- (Room 216),AELC-12--- (Room 123),MLTST12--- (Room A-7),MENST12C-- (Room A-6),MPREC12--- (Room 221),MENR-12--- (Room 105),MPH--12--- (Room 227)
1009,MENST12--- (Room A-2),MCH--12--- (Room 216),MPH--12--- (Room 223),MATPH12--- (Room 216),MFOOD12--- (Room 206),MPREC12--- (Room 221),YPSYC1AX-- (Room 222),MODED12--- (Room _CHECK THIS THING IDK)
1010,MCMPR12AI- (Room 203),unassigned,AELC-12--- (Room 123),MLTST12--- (Room A-7),unassigned,MPREC12--- (Room 221),MPH--12--- (Room 219),unassigned
1011,MCH--12--- (Room 216),MTAUT12--- (Room 102),AELC-12--- (Room 123),MLTST12--- (Room A-7),MTDRF12--- (Room 105),unassigned,MPH--12--- (Room 219),ACAL-12--- (Room 221)
1012,MENST12--- (Room A-2),MSJ--12--- (Room 209),MTAUT12--- (Room 102),YHRA-2AX-- (Room 120),MFOOD12--- (Room 206),MACLV12--- (Room Gym),MCMCL12--- (Room 208),YED--2CX-- (Room 109)
1013,MEC--12--- (Room 209),MCH--12--- (Room 216),MFOOD12--- (Room 206),MPREC12--- (Room 106),YLAW-2CX-- (Room 121),MENFP12--- (Room A-2),YPSYC1AX-- (Room 222),MTXT-12--- (Room A-7)
1014,unassigned,unassigned,MLFSC11--- (Room 216),unassigned,MPGEO12--- (Room 207A),MCMPS11--- (Room 205B),unassigned,MFOM-11--- (Room 106)
1015,unassigned,unassigned,MFOOD12--- (Room 206),MPREC12--- (Room 106),MCALC12--- (Room 221),MENST12--- (Room 207A),YPSYC1AX-- (Room 222),MLST-12--- (Room 123)
1016,unassigned,MSJ--12--- (Room 209),MFOOD12--- (Room 206),unassigned,MPGEO12--- (Room 207A),MENST12--- (Room 207A),MTAUT12--- (Room 102),MFOM-11--- (Room 106)
1017,MENFP12--Y (Room 107),unassigned,YESFL1CX-- (Room 205B),MPREC12--- (Room 210),MTDRF12--- (Room 105),MCALC12--- (Room 106),MENFP12--Y (Room 107),unassigned
1018,MTXT-12--- (Room A-7),MCH--12--- (Room 225),MFOOD12--- (Room 206),MPREC12--- (Room 210),MCALC12--- (Room 221),MENST12--- (Room 207A),APHM-12--- (Room 227),MODED12--- (Room _CHECK THIS THING IDK)
1019,MFR--11--- (Room A-3),unassigned,unassigned,MENST12--- (Room 207B),YLAW-2CX-- (Room A-3),MMEDD12--- (Room 114),unassigned,unassigned
1020,unassigned,unassigned,unassigned,MENST12--- (Room 207B),MAC--11--- (Room A-2),MPREC12--- (Room 221),unassigned,MPH--12--- (Room 225)
1021,MENFP12--- (Room 205B),MATPH12--- (Room 211),MDCF-12--- (Room Studio),unassigned,unassigned,unassigned,MCH--12--- (Room 225),MPREC12--- (Room 214)
1022,MPREC11--- (Room 214),MEVSC12C-- (Room 205A),MVAST12--- (Room 116),MENST12--- (Room 207B),MTXT-12--- (Room A-7),MPREC12--- (Room 221),MCMCL12--- (Room 208),YPSYC1AX-- (Room 209)
1023,MPREC12--- (Room 212),MCH--12--- (Room 219),MFOOD12--- (Room 206),MPH--11--- (Room 226),MCALC12--- (Room 212),MENST12--- (Room 207A),MPH--12--- (Room 219),MTXT-12--- (Room A-7)
1024,MENST12--- (Room A-2),MTAUT12--- (Room 102),MCH--11--- (Room 211),unassigned,unassigned,MPREC12--- (Room 221),MCH--12--- (Room 225),unassigned
1025,unassigned,MCH--12--- (Room 216),unassigned,MENST12--- (Room 207B),unassigned,unassigned,MPH--12--- (Room 219),MPREC12--- (Room 220)
1026,MCH--12--- (Room 216),MPREC12H-- (Room 212),MENR-12--- (Room 104),MFOOD12--- (Room 206),MENST12C-- (Room A-6),MMEDD12--- (Room 114),APHM-12--- (Room 227),ACAL-12--- (Room 221)
1027,unassigned,MSJ--12--- (Room 208),MENST12--- (Room A-6),MATPH12--- (Room 225),YLAW-2CX-- (Room A-3),MTXT-12--- (Room A-7),MLST-12--- (Room 121),MFOM-11--- (Room 106)
1028,unassigned,MATPH12--- (Room 211),MDCF-12--- (Room Studio),unassigned,MFOOD12--- (Room 206),MMEDD12--- (Room 114),unassigned,unassigned
1029,unassigned,MSJ--12--- (Room 208),AELC-12--- (Room 123),MLTST12--- (Room A-7),MWH--12--- (Room 122),unassigned,MLST-12--- (Room 121),MPREC12--- (Room 214)
1030,MENST12--- (Room A-2),MCH--12--- (Room 219),MPH--12--- (Room 223),MPREC12--- (Room 210),YLAW-2CX-- (Room A-3),MCALC12--- (Room 106),MACLV12--- (Room Gym),MLST-12--- (Room 122)
1031,unassigned,unassigned,unassigned,MENST12--- (Room 207B),YLAW-2CX-- (Room A-3),unassigned,unassigned,MPREC12--- (Room 220)
1032,MWH--12--- (Room 121),YPA--2CX-- (Room Gym),MFOOD12--- (Room 206),unassigned,MPGEO12--- (Room 207A),MENFP12--- (Room A-2),unassigned,MCLE-10--- (Room 104)
1033,MEC--12--- (Room 222),YPA--2CX-- (Room Gym),MENST12--- (Room A-6),unassigned,MFOM-11--- (Room 220),MACLV12--- (Room Gym),MPREC11--- (Room 214),MINST12--- (Room 121)
1034,MWH--12--- (Room 121),MSJ--12--- (Room 209),MLFSC11--- (Room 216),MENST12--- (Room 207B),YED--2CX-- (Room 109),MPREC12--- (Room 221),YPSYC1AX-- (Room 222),MFOOD12--- (Room 206)
1035,MECOM12--- (Room 222),MWPM-11--- (Room 214),unassigned,unassigned,MAC--11--- (Room A-2),MENST12--- (Room 207A),unassigned,MFOM-11--- (Room 106)
1036,MPREC12--- (Room 212),MCH--12--- (Room 219),MMACS11--- (Room 203),MPH--11--- (Room 219),MCMPR11AI- (Room 203),MENST12C-- (Room 209),MPH--12--- (Room 219),ACAL-12--- (Room 221)
1037,MPREC12--- (Room 212),MCH--12--- (Room 225),AELC-12--- (Room 123),MLTST12--- (Room A-7),MWH--12--- (Room 122),MCALC12--- (Room 106),MATPH12--- (Room 226),MPH--12--- (Room 227)
1038,MENST12--- (Room A-2),MTAUT12--- (Room 102),MCH--11--- (Room 227),YHRA-2AX-- (Room 120),MFOM-11--- (Room 220),MVAPH11--- (Room 113),MATPH12--- (Room 226),MLST-12--- (Room 122)
1039,MEC--12--- (Room 222),MCH--12--- (Room 219),MFOOD12--- (Room 206),MATPH12--- (Room 216),MPGEO12--- (Room 207A),MENST12--- (Room 205A),APHM-12--- (Room 227),ACAL-12--- (Room 221)
1040,MEC--12--- (Room 222),unassigned,MPH--12--- (Room 223),MENST12--- (Room 207B),unassigned,unassigned,unassigned,MPREC12--- (Room 214)
1041,MDNTP12--- (Room Studio),unassigned,YPSYC1AX-- (Room 205A),MFOOD12--- (Room 206),YLAW-2CX-- (Room 205B),MENFP12--- (Room A-2),MINST12--- (Room 207A),MLST-12--- (Room 222)
1042,unassigned,MCMPS11--- (Room 207A),MLFSC11--- (Room 216),unassigned,MSP--12--- (Room 207B),unassigned,unassigned,unassigned
1043,unassigned,unassigned,unassigned,MENST12--- (Room 207B),MSP--12--- (Room 207B),unassigned,MFR--12--- (Room 107),MPREC12--- (Room 220)
1044,MWH--12--- (Room 121),MSJ--12--- (Room 208),MENST12--- (Room A-6),MATPH12--- (Room 225),MSP--12--- (Room 207B),unassigned,YPSYC1AX-- (Room 222),unassigned
1045,MIMCB12--L (Room 119),MCH--12--- (Room 216),unassigned,MPREC12--- (Room 210),MENST12C-- (Room A-6),MIMCB12--L (Room 119),APHM-12--- (Room 227),MPH--12--- (Room 227)
1046,MEC--12--- (Room 222),MCH--12--- (Room 225),unassigned,ASTA-12--- (Room 212),MCALC12--- (Room 221),MENST12C-- (Room 209),MPH--12--- (Room 219),unassigned
