Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1000,20th CENTURY WORLD HISTORY 12 (Room 121),ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (Room 205A),unassigned,PRE-CALCULUS 12 (Room 210),CALCULUS 12 (Room 212),ENGLISH FIRST PEOPLES 12 (Room A-2),COMPARATIVE CULTURES 12 (Room 208),PSYCHOLOGY 11 (Room 209)
1001,unassigned,ANATOMY AND PHYSIOLOGY 12 (Room 211),unassigned,unassigned,unassigned,FRENCH 10 (Room 207B),CONCERT BAND 9 - Guitar (Room 119),PRE-CALCULUS 12 (Room 220)
1002,ENGLISH FIRST PEOPLES 12 (Room 122),SOCIAL JUSTICE 12 (Room 208),DANCE FOUNDATIONS 12 (Room Studio),unassigned,FOOD STUDIES 12 (Room 206),TEXTILES 12 (Room A-7),unassigned,LEARNING STRATEGIES 12 (Room 109)
1003,unassigned,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (Room 205A),AUTOMOTIVE TECHNOLOGY 12 (Room 102),ANATOMY AND PHYSIOLOGY 12 (Room 225),unassigned,ENGLISH STUDIES 12 (Room 207A),ACTIVE LIVING 12 (Room Gym),PRE-CALCULUS 12 (Room 220)
1004,CHEMISTRY 12 (Room 216),PRE-CALCULUS 12 HONOURS (Room 212),FOOD STUDIES 12 (Room 206),DRAFTING 12 (Room 105),ENGLISH STUDIES 12 CHALLENGE (Room A-6),ENGINEERING 12 (Room 105),PHYSICS 12 (Room 219),AP CALCULUS AB 12 external credential (Room 221)
1005,CHEMISTRY 12 (Room 216),PRE-CALCULUS 12 HONOURS (Room 212),unassigned,PHYSICS 11 (Room 223),CALCULUS 12 (Room 212),ENGLISH STUDIES 12 (Room 205A),ANATOMY AND PHYSIOLOGY 12 (Room 223),PHYSICS 12 (Room 225)
1006,SPANISH 11 (Room 123),CHEMISTRY 12 (Room 216),unassigned,PRE-CALCULUS 12 (Room 210),SPANISH 12 (Room 207B),CALCULUS 12 (Room 106),LAW STUDIES 12 (Room 121),TEXTILES 12 (Room A-7)
1007,unassigned,CHEMISTRY 12 (Room 219),AP ENGLISH LITERATURE & COMPOSITION 12 (Room 123),LITERARY STUDIES 12 (Room A-7),CALCULUS 12 (Room 212),ENGINEERING 12 (Room 105),AP PHYSICS C (MECHANICS) 12 external credential (Room 227),PHYSICS 12 (Room 227)
1008,ECONOMICS 12 (Room 209),CHEMISTRY 12 (Room 216),AP ENGLISH LITERATURE & COMPOSITION 12 (Room 123),LITERARY STUDIES 12 (Room A-7),ENGLISH STUDIES 12 CHALLENGE (Room A-6),PRE-CALCULUS 12 (Room 221),ENGINEERING 12 (Room 105),PHYSICS 12 (Room 227)
1009,ENGLISH STUDIES 12 (Room A-2),CHEMISTRY 12 (Room 216),PHYSICS 12 (Room 223),ANATOMY AND PHYSIOLOGY 12 (Room 216),FOOD STUDIES 12 (Room 206),PRE-CALCULUS 12 (Room 221),PSYCHOLOGY 11 (Room 222),OUTDOOR EDUCATION 12 (Room _CHECK THIS THING IDK)
1010,COMPUTER PROGRAMMING 12 AI and (Room 203),unassigned,AP ENGLISH LITERATURE & COMPOSITION 12 (Room 123),LITERARY STUDIES 12 (Room A-7),unassigned,PRE-CALCULUS 12 (Room 221),PHYSICS 12 (Room 219),unassigned
1011,CHEMISTRY 12 (Room 216),AUTOMOTIVE TECHNOLOGY 12 (Room 102),AP ENGLISH LITERATURE & COMPOSITION 12 (Room 123),LITERARY STUDIES 12 (Room A-7),DRAFTING 12 (Room 105),unassigned,PHYSICS 12 (Room 219),AP CALCULUS AB 12 external credential (Room 221)
1012,ENGLISH STUDIES 12 (Room A-2),SOCIAL JUSTICE 12 (Room 209),AUTOMOTIVE TECHNOLOGY 12 (Room 102),CROSS TRAINING 12 (Room 120),FOOD STUDIES 12 (Room 206),ACTIVE LIVING 12 (Room Gym),COMPARATIVE CULTURES 12 (Room 208),LEARNING STRATEGIES 12 (Room 109)
1013,ECONOMICS 12 (Room 209),CHEMISTRY 12 (Room 216),FOOD STUDIES 12 (Room 206),PRE-CALCULUS 12 (Room 106),CRIMINOLOGY 12 (Room 121),ENGLISH FIRST PEOPLES 12 (Room A-2),PSYCHOLOGY 11 (Room 222),TEXTILES 12 (Room A-7)
1014,unassigned,unassigned,LIFE SCIENCES 11 (Room 216),unassigned,PHYSICAL GEOGRAPHY 12 (Room 207A),COMPOSITION 11 (Room 205B),unassigned,FOUNDATIONS OF MATHEMATICS 11 (Room 106)
1015,unassigned,unassigned,FOOD STUDIES 12 (Room 206),PRE-CALCULUS 12 (Room 106),CALCULUS 12 (Room 221),ENGLISH STUDIES 12 (Room 207A),PSYCHOLOGY 11 (Room 222),LAW STUDIES 12 (Room 123)
1016,unassigned,SOCIAL JUSTICE 12 (Room 209),FOOD STUDIES 12 (Room 206),unassigned,PHYSICAL GEOGRAPHY 12 (Room 207A),ENGLISH STUDIES 12 (Room 207A),AUTOMOTIVE TECHNOLOGY 12 (Room 102),FOUNDATIONS OF MATHEMATICS 11 (Room 106)
1017,ENGLISH FIRST PEOPLES 12 Year (Room 107),unassigned,ELL Academic Literacy 11 (Room 205B),PRE-CALCULUS 12 (Room 210),DRAFTING 12 (Room 105),CALCULUS 12 (Room 106),ENGLISH FIRST PEOPLES 12 Year (Room 107),unassigned
1018,TEXTILES 12 (Room A-7),CHEMISTRY 12 (Room 225),FOOD STUDIES 12 (Room 206),PRE-CALCULUS 12 (Room 210),CALCULUS 12 (Room 221),ENGLISH STUDIES 12 (Room 207A),AP PHYSICS C (MECHANICS) 12 external credential (Room 227),OUTDOOR EDUCATION 12 (Room _CHECK THIS THING IDK)
1019,FRENCH 11 (Room A-3),unassigned,unassigned,ENGLISH STUDIES 12 (Room 207B),CRIMINOLOGY 12 (Room A-3),MEDIA DESIGN 12 (Room 114),unassigned,unassigned
1020,unassigned,unassigned,unassigned,ENGLISH STUDIES 12 (Room 207B),ACCOUNTING 11 (Room A-2),PRE-CALCULUS 12 (Room 221),unassigned,PHYSICS 12 (Room 225)
1021,ENGLISH FIRST PEOPLES 12 (Room 205B),ANATOMY AND PHYSIOLOGY 12 (Room 211),DANCE FOUNDATIONS 12 (Room Studio),unassigned,unassigned,unassigned,CHEMISTRY 12 (Room 225),PRE-CALCULUS 12 (Room 214)
1022,PRE-CALCULUS 11 (Room 214),ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (Room 205A),ART STUDIO 12 (Room 116),ENGLISH STUDIES 12 (Room 207B),TEXTILES 12 (Room A-7),PRE-CALCULUS 12 (Room 221),COMPARATIVE CULTURES 12 (Room 208),PSYCHOLOGY 11 (Room 209)
1023,PRE-CALCULUS 12 (Room 212),CHEMISTRY 12 (Room 219),FOOD STUDIES 12 (Room 206),PHYSICS 11 (Room 226),CALCULUS 12 (Room 212),ENGLISH STUDIES 12 (Room 207A),PHYSICS 12 (Room 219),TEXTILES 12 (Room A-7)
1024,ENGLISH STUDIES 12 (Room A-2),AUTOMOTIVE TECHNOLOGY 12 (Room 102),CHEMISTRY 11 (Room 211),unassigned,unassigned,PRE-CALCULUS 12 (Room 221),CHEMISTRY 12 (Room 225),unassigned
