Group / Section Info,Room-Sharing Groups,Sections
sim_16 (BLOCK 0) (ROOM 104) (30 STUDENTS) (4 SECTIONS),0 groups:,"ADST 9 - General Explorations (Modules) (MADGE09---_5), ENGINEERING 11 (MENR-11---_5), ENGINEERING 12 (MENR-12---_5), ADST-Technology Explorations 10 (MTEXP10---_5)"
sim_233 (BLOCK 0) (ROOM 107) (19 STUDENTS) (1 SECTIONS),0 groups:,SOCIAL STUDIES 9 (MSS--09---_3)
sim_307 (BLOCK 0) (ROOM 108) (9 STUDENTS) (1 SECTIONS),"11 groups: sim_309, sim_318, sim_327, sim_328, sim_329, sim_332, sim_335, sim_336, sim_337, sim_338, sim_364",LEARNING STRATEGIES 11 (YED--1DX--_8)
sim_309 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_318, sim_327, sim_328, sim_329, sim_332, sim_335, sim_336, sim_337, sim_338, sim_364",LEARNING STRATEGIES 11 (YED--1DX--_10)
sim_318 (BLOCK 0) (ROOM 108) (4 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_327, sim_328, sim_329, sim_332, sim_335, sim_336, sim_337, sim_338, sim_364",LEARNING STRATEGIES 11 LINEAR (YED--1DX-L_1)
sim_327 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_318, sim_328, sim_329, sim_332, sim_335, sim_336, sim_337, sim_338, sim_364",LEARNING STRATEGIES 12 (YED--2CX--_6)
sim_328 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_318, sim_327, sim_329, sim_332, sim_335, sim_336, sim_337, sim_338, sim_364",LEARNING STRATEGIES 12 (YED--2CX--_7)
sim_329 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_318, sim_327, sim_328, sim_332, sim_335, sim_336, sim_337, sim_338, sim_364",LEARNING STRATEGIES 12 (YED--2CX--_8)
sim_332 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_318, sim_327, sim_328, sim_329, sim_335, sim_336, sim_337, sim_338, sim_364",LEARNING STRATEGIES 12 (YED--2CX--_11)
sim_335 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_318, sim_327, sim_328, sim_329, sim_332, sim_336, sim_337, sim_338, sim_364",LEARNING STRATEGIES 12 (YED--2CX--_14)
sim_336 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_318, sim_327, sim_328, sim_329, sim_332, sim_335, sim_337, sim_338, sim_364",LEARNING STRATEGIES 12 (YED--2CX--_15)
sim_337 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_318, sim_327, sim_328, sim_329, sim_332, sim_335, sim_336, sim_338, sim_364",LEARNING STRATEGIES 12 (YED--2CX--_16)
sim_338 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_318, sim_327, sim_328, sim_329, sim_332, sim_335, sim_336, sim_337, sim_364",LEARNING STRATEGIES 12 (YED--2CX--_17)
sim_364 (BLOCK 0) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"11 groups: sim_307, sim_309, sim_318, sim_327, sim_328, sim_329, sim_332, sim_335, sim_336, sim_337, sim_338",LEARNING STRATEGIES 9 LD LINEAR (XLDCB09LSL_3)
sim_316 (BLOCK 0) (ROOM 109) (0 STUDENTS) (1 SECTIONS),"5 groups: sim_317, sim_323, sim_325, sim_340, sim_341",LEARNING STRATEGIES 11 (YED--1DX--_17)
sim_317 (BLOCK 0) (ROOM 109) (0 STUDENTS) (1 SECTIONS),"5 groups: sim_316, sim_323, sim_325, sim_340, sim_341",LEARNING STRATEGIES 11 (YED--1DX--_18)
sim_323 (BLOCK 0) (ROOM 109) (10 STUDENTS) (1 SECTIONS),"5 groups: sim_316, sim_317, sim_325, sim_340, sim_341",LEARNING STRATEGIES 12 (YED--2CX--_2)
sim_325 (BLOCK 0) (ROOM 109) (0 STUDENTS) (1 SECTIONS),"5 groups: sim_316, sim_317, sim_323, sim_340, sim_341",LEARNING STRATEGIES 12 (YED--2CX--_4)
sim_340 (BLOCK 0) (ROOM 109) (0 STUDENTS) (1 SECTIONS),"5 groups: sim_316, sim_317, sim_323, sim_325, sim_341",LEARNING STRATEGIES 12 LINEAR (YED--2CX-L_2)
sim_341 (BLOCK 0) (ROOM 109) (0 STUDENTS) (1 SECTIONS),"5 groups: sim_316, sim_317, sim_323, sim_325, sim_340",LEARNING STRATEGIES 12 LINEAR (YED--2CX-L_3)
sim_121 (BLOCK 0) (ROOM 114) (23 STUDENTS) (1 SECTIONS),0 groups:,3D ANIMATION 12 (MDMD-12D--_1)
sim_237 (BLOCK 0) (ROOM 121) (30 STUDENTS) (1 SECTIONS),0 groups:,SOCIAL STUDIES 9 (MSS--09---_7)
sim_107 (BLOCK 0) (ROOM 122) (15 STUDENTS) (1 SECTIONS),0 groups:,COMPOSITION 10 (MCMPS10---_1)
sim_247 (BLOCK 0) (ROOM 123) (30 STUDENTS) (1 SECTIONS),0 groups:,SOCIAL STUDIES 10 (MSS--10---_8)
sim_43 (BLOCK 0) (ROOM 203) (24 STUDENTS) (2 SECTIONS),0 groups:,"COMPUTER SCIENCE 11 (MMACS11---_2), COMPUTER SCIENCE 12 (MMACS12---_2)"
sim_234 (BLOCK 0) (ROOM 205A) (15 STUDENTS) (1 SECTIONS),0 groups:,SOCIAL STUDIES 9 (MSS--09---_4)
sim_123 (BLOCK 0) (ROOM 205B) (17 STUDENTS) (1 SECTIONS),0 groups:,EFP WRITING 10 (MEFWR10---_2)
sim_1 (BLOCK 0) (ROOM 206) (30 STUDENTS) (2 SECTIONS),1 groups: sim_163,"ACCOUNTING 11 (MAC--11---_1), ACCOUNTING 12 (MACC-12---_1)"
sim_163 (BLOCK 0) (ROOM 206) (17 STUDENTS) (1 SECTIONS),1 groups: sim_1,ADST – FOOD STUDIES 10 (MFOOD10---_1)
sim_60 (BLOCK 0) (ROOM 207A) (30 STUDENTS) (3 SECTIONS),0 groups:,"SPANISH 10 (MSP--10---_1), SPANISH 11 (MSP--11---_1), SPANISH 12 (MSP--12---_1)"
sim_23 (BLOCK 0) (ROOM 207B) (26 STUDENTS) (2 SECTIONS),0 groups:,"INTRODUCTORY SPANISH 11 (MBSP-11---_1), SPANISH 9 (MSP--09---_1)"
sim_124 (BLOCK 0) (ROOM 208) (17 STUDENTS) (1 SECTIONS),0 groups:,EFP WRITING 10 (MEFWR10---_3)
sim_146 (BLOCK 0) (ROOM 209) (21 STUDENTS) (1 SECTIONS),0 groups:,ENGLISH STUDIES 12 CHALLENGE (MENST12C--_2)
sim_356 (BLOCK 0) (ROOM 211) (23 STUDENTS) (1 SECTIONS),0 groups:,SCIENCE 10 (MSC--10---_2)
sim_41 (BLOCK 0) (ROOM 222) (30 STUDENTS) (2 SECTIONS),0 groups:,"FRENCH 11 (MFR--11---_2), FRENCH 12 (MFR--12---_2)"
sim_231 (BLOCK 0) (ROOM A-2) (15 STUDENTS) (1 SECTIONS),0 groups:,SOCIAL STUDIES 9 (MSS--09---_1)
sim_39 (BLOCK 0) (ROOM A-3) (30 STUDENTS) (2 SECTIONS),0 groups:,"FRENCH 9 (MFR--09---_3), FRENCH 10 (MFR--10---_3)"
sim_125 (BLOCK 0) (ROOM A-6) (24 STUDENTS) (1 SECTIONS),0 groups:,EFP WRITING 10 (MEFWR10---_4)
sim_126 (BLOCK 0) (ROOM A-7) (18 STUDENTS) (1 SECTIONS),0 groups:,EFP WRITING 10 (MEFWR10---_5)
sim_3 (BLOCK 0) (ROOM Gym) (30 STUDENTS) (2 SECTIONS),1 groups: sim_4,"ACTIVE LIVING 11 (MACLV11---_1), ACTIVE LIVING 12 (MACLV12---_1)"
sim_4 (BLOCK 0) (ROOM Gym) (30 STUDENTS) (2 SECTIONS),1 groups: sim_3,"ACTIVE LIVING 11 (MACLV11---_2), ACTIVE LIVING 12 (MACLV12---_2)"
sim_30 (BLOCK 0) (ROOM NO ROOM FOUND) (30 STUDENTS) (2 SECTIONS),"5 groups: sim_44, sim_109, sim_133, sim_235, sim_236","ECONOMICS 12 (MEC--12---_1), E-COMMERCE 12 (MECOM12---_1)"
sim_44 (BLOCK 0) (ROOM NO ROOM FOUND) (24 STUDENTS) (2 SECTIONS),"5 groups: sim_30, sim_109, sim_133, sim_235, sim_236","COMPUTER SCIENCE 11 (MMACS11---_3), COMPUTER SCIENCE 12 (MMACS12---_3)"
sim_109 (BLOCK 0) (ROOM NO ROOM FOUND) (16 STUDENTS) (1 SECTIONS),"5 groups: sim_30, sim_44, sim_133, sim_235, sim_236",COMPOSITION 10 (MCMPS10---_3)
sim_133 (BLOCK 0) (ROOM NO ROOM FOUND) (30 STUDENTS) (1 SECTIONS),"5 groups: sim_30, sim_44, sim_109, sim_235, sim_236",ENGLISH LANGUAGE ARTS 9 CHALLENGE (MEN--09C--_1)
