Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1000,PSYCHOLOGY 11,20th CENTURY WORLD HISTORY 12,unassigned,PRE-CALCULUS 12,unassigned,ENVIRONMENTAL SCIENCE 12 - CLI,ECONOMICS 12,CALCULUS 12
1001,unassigned,CONCERT BAND 9 - Guitar,unassigned,PRE-CALCULUS 12,unassigned,FRENCH 10,unassigned,ANATOMY AND PHYSIOLOGY 12
1002,LEARNING STRATEGIES 12,unassigned,TEXTILES 12,SOCIAL JUSTICE 12,unassigned,FOOD STUDIES 12,DANCE FOUNDATIONS 12,CAREER LIFE CONNECTIONS Linear
1003,unassigned,unassigned,AUTOMOTIVE TECHNOLOGY 12,PRE-CALCULUS 12,unassigned,ENGLISH STUDIES 12,unassigned,ACTIVE LIVING 12
1004,PEER TUTORING 12 LINEAR,unassigned,DRAFTING 12,PRE-CALCULUS 12 HONOURS,PHYSICS 12,ENGINEERING 12,unassigned,AP CALCULUS AB 12 external cre
1005,SCHOLARSHIP PREPARATION 12 LIN,unassigned,unassigned,PRE-CALCULUS 12 HONOURS,PHYSICS 11,ENGLISH STUDIES 12,unassigned,ANATOMY AND PHYSIOLOGY 12
1006,unassigned,COMMUNITY LEADERSHIP 12 Linear,TEXTILES 12,PRE-CALCULUS 12,LAW STUDIES 12,unassigned,unassigned,CALCULUS 12
1007,PEER TUTORING 12 LINEAR,unassigned,unassigned,unassigned,LITERARY STUDIES 12,ENGINEERING 12,3D ANIMATION 12,AP ENGLISH LITERATURE & COMPOS
1008,SCHOLARSHIP PREPARATION 12 LIN,unassigned,unassigned,PRE-CALCULUS 12,LITERARY STUDIES 12,ENGINEERING 12,ECONOMICS 12,AP ENGLISH LITERATURE & COMPOS
1009,PSYCHOLOGY 11,unassigned,unassigned,PRE-CALCULUS 12,PHYSICS 12,ENGLISH STUDIES 12,unassigned,ANATOMY AND PHYSIOLOGY 12
