Prerequisite,Subsequent_Course
MAC--11---,MACC-12---
MADEM10---,MENT-12---
MADEM10---,MMAP-11---
MADIT09---,MCMPR11W--
MADIT09---,MMACS11---
MCH--11---,MATPH12---
MCH--11---,MCH--12---
MCMPR11W--,MCMPR12W--
MCMPR12---,MMACS12---
MCMPS10---,MCMPS11---
MCMPS10---,MCTWR11---
MCMPS10---,MLTST11---
MCMPS11---,MENST12---
MCMPS11---,MENFP12---
MCTWR10---,MCTWR11---
MCTWR11---,MENST12---
MCTWR11---,MENFP12---
MEN--09E--,MEN--09---
MEPSS11---,MCMCL12---
MEPSS11---,MINST12---
MEPSS11---,MLST-12---
MEPSS11---,MPGEO12---
MEPSS11---,MWH--12---
MFMP-10---,MFOM-11---
MFMP-10---,MPREC11---
MFMP-10---,MPREC11H--
MFMP-10C--,MPREC11---
MFMP-10C--,MPREC11H--
MFMP-10H--,MPREC11---
MFMP-10H--,MPREC11H--
MFOM-11---,MFOM-12---
MFR--09---,MFR--10---
MFR--10---,MFR--11---
MFR--11---,MFR--12---
MLFSC11---,MATPH12---
MLTST11---,MENST12---
MLTST11---,MENFP12---
MMA--09---,MFMP-10---
MMA--09---,MFMP-10H--
MMA--09---,MWPM-10---
MMA--09H--,MFMP-10---
MMA--09H--,MFMP-10H--
MMACS11---,MMACS12---
MMACS12---,ACSC-2A---
MNMD-10---,MNMD-11---
MNMD-11---,MENST12---
MNMD-11---,MENFP12---
MPH--11---,MPH--12---
MPREC11---,MPREC12---
MPREC11---,MPREC12H--
MPREC11H--,MPREC12---
MPREC11H--,MPREC12H--
MPREC12---,ACAL-12---
MPREC12---,MCALC12---
MPREC12H--,ACAL-12---
MPREC12H--,MCALC12---
MSC--09D--,MSC--10---
MSC--10---,MCH--11---
MSC--10---,MESC-11---
MSC--10---,MLFSC11---
MSC--10---,MPH--11---
MSC--10---,MEVSC11---
MSC--10C--,MCH--11---
MSC--10C--,MESC-11---
MSC--10C--,MLFSC11---
MSP--10---,MSP--11---
MSP--11---,MSP--12---
MSPLG11---,MENFP12--Y
MTAUT11---,MTAUT12---
MTAUT12---,MTEAD12---
MWBDV10---,MDCOM11---
MWBDV10---,MMACS11---
MWBDV10---,MCMPR11---
MWBDV10---,MMACS11---
MWBDV10IT-,MCMPR11---
MWBDV10IT-,MCMPR11W--
MWPM-10---,MWPM-11---
MWPM-11---,MFOM-11---
MWPM-11---,MFOM-11---
MWPM-11---,MFOM-11---
XLDCE09NM-,MMA--09---
XLDCE09NM-,MWPM-10---
YESFL0AX--,MCMPS10---
YESFL0AX--,MEFWR10---
YESFL1CX--,MENFP12--Y
