,MADER09--L,ADST - Electronics and Robotic,,,
,MCLC-12---,CAREER LIFE CONNECTIONS,,,
,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,,,
,MCMCC11--L,CHORAL MUSIC 11: CONCERT CHOIR,,,
,MCMCC12--L,CHORAL MUSIC 12: CONCERT CHOIR,,,
,MDNC-09C-L,DANCE 9 Choreography Linear,,,
,MDNC-09M-L,DANCE 9 Company: Platform 61 L,,,
,MDNC-10--L,DANCE 10: CHOREOGRAPHY Linear,,,
,MDNC-11--L,DANCE 11: CHOREOGRAPHY Linear,,,
,MDNC-12--L,DANCE 12: CHOREOGRAPHY Linear,,,
,MDNCM10--L,DANCE COMPANY 10 Linear,,,
,MDNCM11--L,DANCE COMPANY 11 Linear,,,
,MDNCM12--L,DANCE COMPANY 12 Linear,,,
,MGRPR11--L,GRAPHIC PRODUCTION 11 LINEAR,,,
,MGRPR12--L,GRAPHIC PRODUCTION 12 LINEAR,,,
,MIDS-0B---,INDEPENDENT DIRECTED STUDIES 1,,,
,MIDS-0C---,INDEPENDENT DIRECTED STUDIES 1,,,
,MIMJB11--L,INSTRUMENTAL MUSIC 11: JAZZ BA,,,
,MIMJB12--L,INSTRUMENTAL MUSIC 12: JAZZ BA,,,
,MMUCC10--L,CHORAL MUSIC: CONCERT CHOIR 10,,,
,MMUJB10--L,INSTRUMENTAL MUSIC: JAZZ BAND ,,,
,MMUOR10S-L,INSTRUMENTAL MUSIC: ORCHESTRA ,,,
,MMUOR11S-L,INSTRUMENTAL MUSIC: ORCHESTRA ,,,
,MMUOR12S-L,INSTRUMENTAL MUSIC: ORCHESTRA ,,,
,MTEAR10--L,ADST ?  ELECTRONICS AND ROBOTI,,,
,MTROB11--L,ROBOTICS 11 LINEAR,,,
,MTROB12--L,ROBOTICS 12 LINEAR,,,
,MWEX-2A---,WORK EXPERIENCE 12A,,,
,MWEX-2A--L,WORK EXPERIENCE 12A LINEAR,,,
,MWEX-2B--L,WORK EXPERIENCE 12B LINEAR,,,
,PBB--2H,CAMOSUN COL BUSINESS 12H,,,
,XBA--09J-L,JAZZ BAND 9 LINEAR,,,
,XC---09--L,CONCERT CHOIR 9 Linear,,,
,XLDCB09S-L,STRINGS 9 LINEAR,,,
,YCPA-0AX-L,COMMUNITY LEADERSHIP 10 Linear,,,
,YCPA-0AXE-,COMMUNITY LEADERSHIP 10,,,
,YCPA-1AX-L,COMMUNITY LEADERSHIP 11 Linear,,,
,YCPA-1AXE-,COMMUNITY LEADERSHIP 11,,,
,YCPA-2AX-L,COMMUNITY LEADERSHIP 12 Linear,,,
,YCPA-2AXE-,COMMUNITY LEADERSHIP 12,,,
,YED--0BX-L,PEER TUTORING 10 LINEAR,,,
,YED--1EX-L,PEER TUTORING 11 LINEAR,,,
,YED--2DX-L,PEER TUTORING 12 LINEAR,,,
,YED--2FX-L,SCHOLARSHIP PREPARATION 12 LIN,,,
,YLRA-0AX-L,ATHLETIC LEADERSHIP 10 U16,,,
,YLRA-1AX-L,ATHLETIC LEADERSHIP 11 Linear,,,
,YLRA-2AX-L,ATHLETIC LEADERSHIP 12 Linear,,,
