,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
101,,,"ADST - Woodwork 9 (6 students)
ADST – WOODWORK 10 (8 students)
WOODWORK 11 (4 students)
WOODWORK 12 (6 students)",,,"ADST - Woodwork 9 (12 students)
ADST – WOODWORK 10 (4 students)
WOODWORK 11 (5 students)
WOODWORK 12 (2 students)",,
102,"AUTOMOTIVE TECHNOLOGY 11 (9 students)
AUTOMOTIVE TECHNOLOGY 12 (15 students)
ENGINE AND DRIVETRAIN 12 (0 students)",,"AUTOMOTIVE TECHNOLOGY 11 (7 students)
AUTOMOTIVE TECHNOLOGY 12 (17 students)
ENGINE AND DRIVETRAIN 12 (0 students)",,,,"AUTOMOTIVE TECHNOLOGY 11 (12 students)
AUTOMOTIVE TECHNOLOGY 12 (6 students)
ENGINE AND DRIVETRAIN 12 (6 students)",
103,,,"ADST – POWER TECHNOLOGY 10 (22 students)
TECH ED 9: MECHANICS LD (7 students)","ADST – POWER TECHNOLOGY 10 (18 students)
TECH ED 9: MECHANICS LD (12 students)",,,,
104,CAREER LIFE EDUCATION 10 (30 students),,"ADST - Electronics and Robotics (8 students)
ADST – ELECTRONICS AND ROBOTICS 10 (9 students)
ROBOTICS 11 (4 students)
ROBOTICS 12 (1 students)",CAREER LIFE EDUCATION 10 Linear (15 students),,"ADST - Electronics and Robotics (18 students)
CAREER LIFE EDUCATION 10 (15 students)
ADST – ELECTRONICS AND ROBOTICS 10 (1 students)
ROBOTICS 11 (1 students)
ROBOTICS 12 (3 students)",CAREER LIFE EDUCATION 10 Linear (15 students),"ADST 9 - General Explorations (Modules) (22 students)
ENGINEERING 11 (2 students)
ENGINEERING 12 (0 students)
ADST-Technology Explorations 10 (6 students)"
105,,,"ADST - Drafting 9 (10 students)
ADST – DRAFTING 10 (4 students)
DRAFTING 11 (4 students)
DRAFTING 12 (11 students)","ADST 9 - General Explorations (Modules) (11 students)
ENGINEERING 11 (3 students)
ENGINEERING 12 (12 students)
ADST-Technology Explorations 10 (2 students)",,"ADST - Drafting 9 (7 students)
ADST - Drafting 9 (13 students)
ADST 9 - General Explorations (Modules) (5 students)
ENGINEERING 11 (6 students)
ENGINEERING 12 (11 students)
ADST – DRAFTING 10 (6 students)
ADST – DRAFTING 10 (6 students)
DRAFTING 11 (1 students)
DRAFTING 11 (2 students)
DRAFTING 12 (1 students)
DRAFTING 12 (7 students)
ADST-Technology Explorations 10 (1 students)","ADST 9 - General Explorations (Modules) (5 students)
ENGINEERING 11 (6 students)
ENGINEERING 12 (2 students)
ADST-Technology Explorations 10 (17 students)","ADST - Drafting 9 (22 students)
ADST 9 - General Explorations (Modules) (23 students)
ENGINEERING 11 (0 students)
ENGINEERING 12 (0 students)
ADST – DRAFTING 10 (5 students)
DRAFTING 11 (2 students)
DRAFTING 12 (1 students)
ADST-Technology Explorations 10 (7 students)"
106,MATHEMATICS 9 (26 students),,WORKPLACE MATHEMATICS 10 (18 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (25 students),PRE-CALCULUS 12 (29 students),FOUNDATIONS OF MATHEMATICS 11 (30 students),FOUNDATIONS OF MATHEMATICS 11 (30 students),MATHEMATICS 9 HONOURS (26 students)
107,SOCIAL STUDIES 10 (26 students),SOCIAL STUDIES 9 (17 students),PSYCHOLOGY 11 (30 students),ENVIRONMENTAL SCIENCE 11 (23 students),,ENGLISH LANGUAGE ARTS 9 (10 students),ENGLISH LANGUAGE ARTS 9 CHALLENGE (20 students),CRIMINOLOGY 12 (30 students)
108,LEARNING STRATEGIES 12 (11 students),"LEARNING STRATEGIES 10 (1 students)
LEARNING STRATEGIES 11 LINEAR (1 students)",LEARNING STRATEGIES 10 (2 students),,"LEARNING STRATEGIES 9 LD (5 students)
LEARNING STRATEGIES 10 (4 students)",LEARNING STRATEGIES 11 LINEAR (1 students),"LEARNING STRATEGIES 11 (3 students)
LEARNING STRATEGIES 12 (7 students)",
109,"LEARNING STRATEGIES 9 LD (4 students)
LEARNING STRATEGIES 10 (5 students)","LEARNING STRATEGIES 11 (4 students)
LEARNING STRATEGIES 11 LINEAR (3 students)
LEARNING STRATEGIES 9 LD LINEAR (3 students)",,LEARNING STRATEGIES 11 (4 students),"LEARNING STRATEGIES 10 (1 students)
LEARNING STRATEGIES 11 LINEAR (3 students)",LEARNING STRATEGIES 12 (2 students),"LEARNING STRATEGIES 9 LD (2 students)
LEARNING STRATEGIES 9 LD LINEAR (3 students)",LEARNING STRATEGIES 10 (3 students)
113,,,,"VISUAL ARTS: PHOTOGRAPHY 10 (10 students)
PHOTOGRAPHY 11 (17 students)
PHOTOGRAPHY 12 (3 students)",,,,"VISUAL ARTS: PHOTOGRAPHY 10 (9 students)
PHOTOGRAPHY 11 (16 students)
PHOTOGRAPHY 12 (3 students)"
114,"ADST – MEDIA DESIGN 10 (17 students)
MEDIA DESIGN 11 (6 students)
MEDIA DESIGN 12 (1 students)","ADST – MEDIA DESIGN 10 (8 students)
MEDIA DESIGN 11 (9 students)
MEDIA DESIGN 12 (7 students)",3D ANIMATION 12 (19 students),Information and Communications Technologies 10 (24 students),,,Information and Communications Technologies 10 (24 students),
116,,,"VISUAL ARTS 9 (9 students)
VISUAL ARTS: ART STUDIO 10 (10 students)
ART STUDIO 11 (4 students)
ART STUDIO 12 (7 students)",,,"VISUAL ARTS 9 (13 students)
VISUAL ARTS: ART STUDIO 10 (4 students)
ART STUDIO 11 (6 students)
ART STUDIO 12 (7 students)","VISUAL ARTS 9 (16 students)
VISUAL ARTS: ART STUDIO 10 (6 students)
ART STUDIO 11 (5 students)
ART STUDIO 12 (3 students)",
