Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1000,unassigned,MEC--12---,YPSYC1AX--,MCLC-12--L,MENFP12---,unassigned,MCALC12---,MPREC12---
1001,XBA--09G--,unassigned,unassigned,unassigned,unassigned,unassigned,MATPH12---,MFR--10---
1002,MFOOD12---,MDRM-12---,MTXT-12---,MCLC-12--L,MENFP12---,MDCF-12---,unassigned,YED--2CX--
1003,unassigned,unassigned,unassigned,MACLV12---,MENST12---,unassigned,MATPH12---,MPREC12---
1004,MENR-12---,MFOOD12---,MCH--12---,MCLC-12--L,ACAL-12---,unassigned,MPH--12---,MTDRF12---
1005,MPH--12---,unassigned,MATPH12---,MCLC-12--L,MCALC12---,MPH--11---,MCH--12---,YED--2FX-L
1006,MLST-12---,unassigned,MCH--12---,MCLC-12--L,unassigned,YCPA-2AX-L,MCALC12---,MPREC12---
1007,AELC-12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,unassigned,APHM-12---,YED--2DX-L
1008,AELC-12---,MEC--12---,MCH--12---,MCLC-12--L,unassigned,unassigned,MCALC12---,MPREC12---
1009,MPH--12---,unassigned,MATPH12---,MCLC-12--L,MENST12---,MFOOD12---,MCH--12---,MPREC12---
1010,AELC-12---,unassigned,unassigned,MCLC-12--L,ACAL-12---,MTROB12--L,MPH--12---,MPREC12---
1011,AELC-12---,unassigned,MCH--12---,MCLC-12--L,ACAL-12---,unassigned,MPH--12---,MTDRF12---
1012,unassigned,MFOOD12---,unassigned,MCLC-12--L,MENST12---,MACLV12---,MCMCL12---,YED--2CX--
1013,MEC--12---,MFOOD12---,MTXT-12---,MCLC-12--L,MENFP12---,YCPA-2AX-L,unassigned,MPREC12---
1014,MCMPS11---,unassigned,MLFSC11---,unassigned,MPGEO12---,unassigned,MFOM-11---,unassigned
1015,MLST-12---,unassigned,YPSYC1AX--,MCLC-12--L,MENST12---,MFOOD12---,MCALC12---,MPREC12---
1016,unassigned,MFOOD12---,unassigned,MCLC-12--L,MEVSC12C--,MFOM-11---,MENST12---,unassigned
1017,unassigned,MTDRF12---,unassigned,MCLC-12--L,YESFL1CX--,MAC--11---,MCALC12---,MPREC12---
1018,MFOOD12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,unassigned,APHM-12---,MPREC12---
