Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1000,PSYCHOLOGY 11 (Room A-2),unassigned,ENVIRONMENTAL SCIENCE 12 - CLI (Room 211),20th CENTURY WORLD HISTORY 12 (Room 121),ENGLISH FIRST PEOPLES 12 (Room A-6),CALCULUS 12 (Room 207B),PRE-CALCULUS 12 (Room 210),unassigned
1001,unassigned,unassigned,FRENCH 10 (Room 122),unassigned,CONCERT BAND 9 - Guitar (Room 119),ANATOMY AND PHYSIOLOGY 12 (Room 219),PRE-CALCULUS 12 (Room 210),unassigned
1002,unassigned,DRAMA 12 (Room A-1),unassigned,unassigned,ENGLISH FIRST PEOPLES 12 (Room A-6),FOOD STUDIES 12 (Room 206),DANCE FOUNDATIONS 12 (Room Studio),LEARNING STRATEGIES 12 (Room A-3)
1003,AUTOMOTIVE TECHNOLOGY 12 (Room 102),unassigned,ENVIRONMENTAL SCIENCE 12 - CLI (Room 211),ACTIVE LIVING 12 (Room Gym),ENGLISH STUDIES 12 (Room A-3),ANATOMY AND PHYSIOLOGY 12 (Room 219),PRE-CALCULUS 12 (Room 210),unassigned
1004,DRAFTING 12 (Room 105),unassigned,CHEMISTRY 12 (Room 211),ENGLISH STUDIES 12 CHALLENGE (Room 222),ENGINEERING 12,AP CALCULUS AB 12 external cre (Room 214),PHYSICS 12 (Room 216),unassigned
1005,SCHOLARSHIP PREPARATION 12 LIN (Room 107),unassigned,CHEMISTRY 12 (Room 211),ENGLISH STUDIES 12 (Room A-6),CALCULUS 12 (Room 106),ANATOMY AND PHYSIOLOGY 12 (Room 219),PHYSICS 11 (Room 219),unassigned
1006,unassigned,TEXTILES 12 (Room 206),CHEMISTRY 12 (Room 211),SPANISH 11 (Room 208),unassigned,CALCULUS 12 (Room 207B),PRE-CALCULUS 12 (Room 210),COMMUNITY LEADERSHIP 12 Linear (Room 123)
1007,unassigned,ENGINEERING 12,CHEMISTRY 12 (Room 211),LITERARY STUDIES 12 (Room 122),AP ENGLISH LITERATURE & COMPOS (Room 205B),AP PHYSICS C (MECHANICS) 12 ex (Room 225),unassigned,unassigned
1008,SCHOLARSHIP PREPARATION 12 LIN (Room 107),ENGINEERING 12,CHEMISTRY 12 (Room 211),LITERARY STUDIES 12 (Room 122),AP ENGLISH LITERATURE & COMPOS (Room 205B),CALCULUS 12 (Room 207B),PHYSICS 12 (Room 216),unassigned
1009,PSYCHOLOGY 11 (Room A-2),unassigned,CHEMISTRY 12 (Room 211),FOOD STUDIES 12 (Room 206),ENGLISH STUDIES 12 (Room A-3),ANATOMY AND PHYSIOLOGY 12 (Room 219),PHYSICS 12 (Room 216),unassigned
1010,COMPUTER PROGRAMMING 12 AI and (Room 203),unassigned,unassigned,LITERARY STUDIES 12 (Room 122),AP ENGLISH LITERATURE & COMPOS (Room 205B),AP CALCULUS AB 12 external cre (Room 214),PHYSICS 12 (Room 216),unassigned
1011,AUTOMOTIVE TECHNOLOGY 12 (Room 102),unassigned,CHEMISTRY 12 (Room 211),LITERARY STUDIES 12 (Room 122),AP ENGLISH LITERATURE & COMPOS (Room 205B),AP CALCULUS AB 12 external cre (Room 214),PHYSICS 12 (Room 216),unassigned
