Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1000,YPSYC1AX--,MWH--12---,,MPREC12---,,MEVSC12C--,MEC--12---,MCALC12---
1001,,XBA--09G--,,MPREC12---,,MFR--10---,,MATPH12---
1002,YED--2CX--,,MTXT-12---,MSJ--12---,,MFOOD12---,MDCF-12---,MCLC-12--L
1003,,,MTAUT12---,MPREC12---,,MENST12---,,MACLV12---
1004,YED--2DX-L,,MTDRF12---,MPREC12H--,MPH--12---,MENR-12---,,ACAL-12---
1005,YED--2FX-L,,,MPREC12H--,MPH--11---,MENST12---,,MATPH12---
1006,,YCPA-2AX-L,MTXT-12---,MPREC12---,MLST-12---,,,MCALC12---
1007,YED--2DX-L,,,,MLTST12---,MENR-12---,MDMD-12D--,AELC-12---
1008,YED--2FX-L,,,MPREC12---,MLTST12---,MENR-12---,MEC--12---,AELC-12---
1009,YPSYC1AX--,,,MPREC12---,MPH--12---,MENST12---,,MATPH12---
1010,,,MTROB12--L,MPREC12---,MLTST12---,,MCMPR12AI-,ACAL-12---
1011,YED--2FX-L,,MTAUT12---,,MLTST12---,,,ACAL-12---
1012,YED--2CX--,,MTAUT12---,MSJ--12---,,MENST12---,MCMCL12---,MACLV12---
1013,YLAW-2CX--,YCPA-2AX-L,MTXT-12---,MPREC12---,,MFOOD12---,MEC--12---,MCLC-12--L
1014,,,,,MLFSC11---,MFOM-11---,MCMPS11---,
1015,YED--2FX-L,YCPA-2AX-L,,MPREC12---,MLST-12---,MENST12---,,MCALC12---
1016,YHRA-2AX--,,MTAUT12---,MSJ--12---,MPGEO12---,MENST12---,,MCLC-12--L
1017,YESFL1CX--,,MTDRF12---,MPREC12---,,,MENFP12--Y,MAC--11---
1018,YED--2DX-L,,MTXT-12---,MPREC12---,MODED12---,MENST12---,,APHM-12---
1019,YLAW-2CX--,,,,MMEDD12---,MENST12---,,
1020,,,,MPREC12---,MPH--12---,MENST12---,,MAC--11---
1021,,YCPA-2AX-L,,MPREC12---,,,MDCF-12---,MATPH12---
